id	name	sub_type	lv	icon	color	unlock_formula	need_id	need_id	reward	num	formula_group	is_big_icon	is_model	skin	animation	offset_y	model_scale	
图鉴id	名称	子类型	等级	图片	图标背景颜色	公式所需道具数组	所需道具1	所需道具2	解锁奖励	解锁奖励数量	组合界面解锁等级	是否是需要特殊处理的大图	详细界面是否会动	炮台专用1	炮台专用2	图鉴中道具上升的高度	会动的模型缩放大小	
integer	string	integer	integer	integer	integer	array	integer	integer	integer	integer	integer	integer	integer	string	string	integer	float	
key	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
70001	"Đại sư gấu trúc"	7	1	70001	4	0|1|2	0	0	11003	2	-1	0	1	""	""	0	18000	
70002	"Đại sư gấu trúc"	7	2	70002	4	0|1|2	0	0	0	0	-1	0	1	""	""	0	18000	
70003	"Đại sư gấu trúc"	7	3	70003	4	0|1|2	0	0	0	0	-1	0	1	""	""	0	18000	
70004	"Đại sư gấu trúc"	7	4	70004	4	0|1|2	0	0	0	0	-1	0	1	""	""	0	18000	
30001	"Dân làng"	1	1	30001	1	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
31001	"Ngư xoa binh"	1	1	31001	2	2|1|2	30001	18001	11003	2	0	0	1	""	""	0	25000	
31002	"Ngư xoa binh"	1	2	31002	2	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
31003	"Ngư xoa binh"	1	3	31003	2	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
32001	"Lính bắn đá"	1	1	32001	2	2|1|2	30001	18002	11003	2	1	0	1	""	""	0	25000	
32002	"Lính bắn đá"	1	2	32002	2	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
32003	"Lính bắn đá"	1	3	32003	2	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
33001	"Lính cầm khiên"	1	1	33001	2	2|1|2	30001	18003	11003	2	2	0	1	""	""	0	25000	
33002	"Lính cầm khiên"	1	2	33002	2	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
33003	"Lính cầm khiên"	1	3	33003	2	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
34001	"Tay bắn cung"	1	1	34001	3	2|1|2	32001	18004	11003	2	3	0	1	""	""	0	25000	
34002	"Tay bắn cung"	1	2	34002	3	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
34003	"Tay bắn cung"	1	3	34003	3	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
35001	"Người dã man"	1	1	35001	3	2|1|2	31001	18005	11003	2	4	0	1	""	""	0	25000	
35002	"Người dã man"	1	2	35002	3	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
35003	"Người dã man"	1	3	35003	3	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
37001	"Dũng sĩ sơn khâu"	1	1	37001	3	2|1|2	33001	18006	11003	2	5	0	1	""	""	0	25000	
37002	"Dũng sĩ sơn khâu"	1	2	37002	3	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
37003	"Dũng sĩ sơn khâu"	1	3	37003	3	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
38001	"Bộ lạc tù hư"	1	1	38001	4	0|1|2	34001	18007	11003	2	6	0	1	""	""	0	25000	
38002	"Bộ lạc tù hư"	1	2	38002	4	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
38003	"Bộ lạc tù hư"	1	3	38003	4	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
39001	"Kiếm khách"	1	1	39001	2	2|1|2	30001	18006	11003	2	9	0	1	""	""	0	25000	
39002	"Kiếm khách"	1	2	39002	2	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
39003	"Kiếm khách"	1	3	39003	2	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
40001	"Thương binh"	1	1	40001	3	2|1|2	39001	18005	11003	2	9	0	1	""	""	0	25000	
40002	"Thương binh"	1	2	40002	3	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
40003	"Thương binh"	1	3	40003	3	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
41001	"Naga"	1	1	41001	4	2|1|2	35001	18008	11003	2	7	0	1	""	""	0	25000	
41002	"Naga"	1	2	41002	4	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
41003	"Naga"	1	3	41003	4	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
42001	"Kị sĩ thiết giáp"	1	1	42001	4	2|1|2	37001	18009	11003	2	8	0	1	""	""	0	25000	
42002	"Kị sĩ thiết giáp"	1	2	42002	4	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
42003	"Kị sĩ thiết giáp"	1	3	42003	4	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
43001	"Phù thuỷ ma thuật"	1	1	43001	3	2|1|2	32001	18011	11003	2	9	0	1	""	""	0	25000	
43002	"Phù thuỷ ma thuật"	1	2	43002	3	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
43003	"Phù thuỷ ma thuật"	1	3	43003	3	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
44001	"Rồng"	1	1	44001	4	2|1|2	45001	18011	11003	2	9	0	1	""	""	0	25000	
44002	"Rồng"	1	2	44002	4	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
44003	"Rồng"	1	3	44003	4	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
45001	"Đại nguyên soái"	1	1	45001	3	2|1|2	39001	18006	11003	2	9	0	1	""	""	0	25000	
45002	"Đại nguyên soái"	1	2	45002	3	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
45003	"Đại nguyên soái"	1	3	45003	3	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
46001	"Nhân mã chiến kị"	1	1	46001	4	2|1|2	40001	18009	11003	2	9	0	1	""	""	0	25000	
46002	"Nhân mã chiến kị"	1	2	46002	4	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
46003	"Nhân mã chiến kị"	1	3	46003	4	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
71101	"Pháo phòng ngự"	8	1	71101	2	0|1|2	0	0	11003	2	-1	0	1	default	fstay	50	15000	
71102	"Pháo phòng ngự"	8	2	71102	2	0|1|2	0	0	0	0	-1	0	1	default	fstay	50	15000	
71103	"Pháo phòng ngự"	8	3	71103	2	0|1|2	0	0	0	0	-1	0	1	default	fstay	50	15000	
71104	"Pháo phòng ngự"	8	4	71104	2	0|1|2	0	0	0	0	-1	0	1	default	fstay	50	15000	
72101	"Yêu tinh nước"	8	1	72101	2	0|1|2	0	0	11003	2	-1	0	1	""	""	0	25000	
72102	"Yêu tinh nước"	8	2	72101	2	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
72103	"Yêu tinh nước"	8	3	72101	2	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
72104	"Yêu tinh nước"	8	4	72101	2	0|1|2	0	0	0	0	-1	0	1	""	""	0	25000	
36001	"Tường gỗ"	2	1	36001	2	0|1|2	0	0	11003	2	-1	0	0	""	""	0	""	
36002	"Tường nhọn"	2	1	36002	2	2|1|2	36001	18005	11003	2	4	0	0	""	""	0	""	
36003	"Tường cung nỏ"	2	1	36003	2	2|1|2	36001	18004	11003	2	6	0	0	""	""	0	""	
36004	"Tường đá"	2	1	36004	2	2|1|2	36001	18002	11003	2	7	0	0	""	""	0	""	
36005	"Tường nỏ đá"	2	1	36005	2	2|1|2	36004	18002	11003	2	8	0	0	""	""	0	""	
16001	"Vật liệu gỗ"	3	1	16001	2	0|1|2	0	0	11002	1	-1	0	0	""	""	0	""	
16002	"Đống gỗ nhỏ"	3	2	16002	2	0|1|2	0	0	11002	2	-1	0	0	""	""	0	""	
16003	"Đống gỗ bình thường"	3	3	16003	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
16004	"Đống gỗ phổ thông"	3	4	16004	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
16005	"Đống gỗ lớn"	3	5	16005	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
16006	"Đống gỗ siêu lớn"	3	6	16006	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
16007	"Đống gỗ khổng lồ"	3	7	16007	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
16008	"Đống gỗ siêu khổng lồ"	3	8	16008	2	0|1|2	0	0	11002	4	-1	0	0	""	""	0	""	
17001	"Khối sắt"	3	1	17001	2	0|1|2	0	0	11002	1	-1	0	0	""	""	0	""	
17002	"Khối sắt nhỏ"	3	2	17002	2	0|1|2	0	0	11002	2	-1	0	0	""	""	0	""	
17003	"Khối sắt phổ thông"	3	3	17003	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
17004	"Khối sắt trung"	3	4	17004	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
17005	"Khối sắt to"	3	5	17005	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
17006	"Khối sắt siêu to"	3	6	17006	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
17007	"Khối sắt khổng lồ"	3	7	17007	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
17008	"Khối sắt siêu khổng lồ"	3	8	17008	2	0|1|2	0	0	11002	4	-1	0	0	""	""	0	""	
12001	"Chìa khoá gỗ"	4	1	12001	2	0|1|2	0	0	11002	1	-1	0	0	""	""	0	""	
12002	"Chìa khoá sắt"	4	2	12002	2	0|1|2	0	0	11002	2	-1	0	0	""	""	0	""	
12003	"Chìa khoá cam"	4	3	12003	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
12004	"Chìa khoá đỏ"	4	4	12004	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
12005	"Chìa khoá xanh da trời"	4	5	12005	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
12006	"Chìa khoá tử kim"	4	6	12006	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
12007	"Chìa khoá hắc kim"	4	7	12007	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
12008	"Chìa khoá hoa lệ"	4	8	12008	2	0|1|2	0	0	11002	4	-1	0	0	""	""	0	""	
13001	"Mỏ neo gỗ"	4	1	13001	2	0|1|2	0	0	11002	1	-1	0	0	""	""	0	""	
13002	"Mỏ neo sắt"	4	2	13002	2	0|1|2	0	0	11002	2	-1	0	0	""	""	0	""	
13003	"Mỏ neo cam"	4	3	13003	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
13004	"Mỏ neo đỏ"	4	4	13004	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
13005	"Mỏ neo xanh da trời"	4	5	13005	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
13006	"Mỏ neo tử kim"	4	6	13006	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
