buildID	buildType	buildName	model	anim_name	nextBuildID	buildLv	hp	defense	attack	attack_range	attack_interval	fly_weapon_name	call	rate	currency	capacity	consume	num	star	coin	material	quantity	lock	cellID	showAreaID	lockAreaID	activeCellID	xoffset	offset	reward	amount	
建筑id	建筑类型	建筑名称	模型	是否有动画	下级建筑ID	建筑等级	血值	防御	攻击	攻击范围 px	攻击间隔,秒 	飞行武器预设名	号召范围	产出/时间	产出货币类型	产出最大容量	升级消耗	消耗数量	星星数	摧毁金币掉落	掉材料道具	材料数量	顺序	所属格子ID	显示区域ID	解锁区域ID	被激活的格子ID	地表x偏移	地表y偏移	奖励	数量	
integer	integer	string	integer	string	integer	integer	integer	integer	integer	integer	float	string	integer	string	integer	integer	string	string	integer	integer	integer	integer	integer	integer	string	integer	integer	integer	integer	string	string	
key	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
51000	1	"Lâu Đài"	51000	""	51001	0	0	0	0	0	0	""	0	0	0	0	11004|11005|12001|11002	15|3|1|15	0	0	0	0	1	0	0	0	117	-1	11	11003	1	
51001	1	"Lâu Đài"	51001	""	51002	1	3250	20	20	100	25000	fly_2	600	0	0	0	11004|11005|12003|11002	65|27|1|95	3	13	12001	1	6	0	3|5|6|9|11	2	0	0	13	11003	1	
51002	1	"Lâu Đài"	51002	""	51003	2	5700	30	40	110	25000	fly_2	600	0	0	0	11004|11005|12004|11002|25001	105|105|1|215|3	3	15	12001	1	11	0	0	5	0	1	10	11006|11003	2|1	
51003	1	"Lâu Đài"	51003	""	51004	3	6825	40	60	120	25000	fly_2	600	0	0	0	11004|11005|12004|11002|25001	95|148|1|325|25	4	18	12001	1	16	0	0	7	0	0	16	11006|11003	5|2	
51004	1	"Lâu Đài"	51004	""	51005	4	8050	50	80	130	25000	fly_2	600	0	0	0	11004|11005|12006|11002|25001	205|100|1|420|35	5	20	12001	1	21	0	0	8	0	0	26	11006|11003	5|2	
51005	1	"Lâu Đài"	51005	""	51006	5	9750	60	100	140	25000	fly_2	600	0	0	0	11004|11005|12007|11002|25001	255|130|1|550|45	6	23	12001	1	26	0	0	9	0	2	24	11006|11003	5|2	
51006	1	"Lâu Đài"	51005	""	51007	6	10875	70	120	150	25000	fly_2	600	0	0	0	11004|11005|12008|11002|25001	270|145|1|750|55	7	25	12001	1	31	0	0	10	0	2	24	11006|11003	5|2	
