class_name	load_url	excel_name	
类名，程序定义	加载路径	Excel文件名	
string	string	string	
key	""	""	
MapCellConfigData	configs/mapcell	地图格子.xlsx	
BuildConfigData	configs/build	建筑.xlsx	
ItemConfigData	configs/item	道具表.xlsx	
PoolConfigData	configs/pool	随机池.xlsx	
LvRandomConfigData	configs/lv_random	等级随机池.xlsx	
HeroConfigData	configs/hero	英雄.xlsx	
CaskConfigData	configs/cask	新手木桶表.xlsx	
PlayMapConfigData	configs/playmap	玩法地图.xlsx	
PlayDataConfigData	configs/playdata	NPC数据.xlsx	
FightMatchConfigData	configs/match	战斗匹配表.xlsx	
LadderAchievementConfigData	configs/ladder_achievement	联赛成就表.xlsx	
LadderRewardConfigData	configs/ladder_reward	联赛赛季奖励.xlsx	
NamePoolConfigData	configs/name_pool	NPC名字库.xlsx	
GuideConfigData	configs/guide	新手引导表.xlsx	
PlayCavesConfigData	configs/playcaves	洞窟副本数据.xlsx	
ShopConfigData	configs/shop	货摊表.xlsx	
CavesLevelConfigData	configs/caveslevel	洞窟关卡表.xlsx	
BookConfigData	configs/books	图鉴.xlsx	
TaskConfigData	configs/task	任务表.xlsx	
SpecialConfigData	configs/special	特殊玩法.xlsx	
SkillConfigData	configs/skill	技能表.xlsx	
SignConfigData	configs/sign	签到.xlsx	
DecorateConfigData	configs/decorate	装饰表.xlsx	
LadderBuildingConfigData	configs/ladder_building	联赛建筑排行奖励.xlsx	
LadderLvConfigData	configs/ladder_lv	联赛等级.xlsx	
RandomNameConfigData	configs/random_name	随机名字库.xlsx	
StoreConfigData	configs/mall	商城.xlsx	
StarConfigData	configs/star	升星表.xlsx	
