name	desc	type	value	
常量名	常量说明	常量类型[integer|float|string]	常量值	
string	string	string	string	
key	""	""	""	
CLOSE_BTN_DELAY_TIME	关闭按钮出现时间(秒）	float	10000	
MAX_FIGHT_TIME	战斗最长时间（秒）	integer	300	
BRASS_WOOD_PERCENTAGE	（英勇黄铜）木材抽取百分比	integer	3000	
BRASS_IRON_PERCENTAGE	（英勇黄铜）铁矿抽取百分比	integer	3000	
BRASS_SHELL_PERCENTAGE	（英勇黄铜）贝壳抽取百分比	integer	1000	
BRASS_ARMS_PERCENTAGE	（英勇黄铜）武器类（鱼叉、石袋、蛇、鸽子等）	integer	2000	
BRASS_SPECIAL_PERCENTAGE	（英勇黄铜）特殊材料（罐子、钥匙、船锚、号角）	integer	2000	
SILVER_WOOD_PERCENTAGE	（不屈白银）木材	integer	4000	
SILVER_IRON_PERCENTAGE	（不屈白银）铁矿	integer	4000	
SILVER_SHELL_PERCENTAGE	（不屈白银）贝壳	integer	1300	
SILVER_ARMS_PERCENTAGE	（不屈白银）武器类（鱼叉、石袋、蛇、鸽子等）	integer	2500	
SILVER_SPECIAL_PERCENTAGE	（不屈白银）特殊材料（罐子、钥匙、船锚、号角）	integer	2500	
GOLD_WOOD_PERCENTAGE	（荣耀黄金）木材	integer	5000	
GOLD_IRON_PERCENTAGE	（荣耀黄金）铁矿	integer	5000	
GOLD_SHELL_PERCENTAGE	（荣耀黄金）贝壳	integer	1600	
GOLD_ARMS_PERCENTAGE	（荣耀黄金）武器类（鱼叉、石袋、蛇、鸽子等）	integer	3000	
GOLD_SPECIAL_PERCENTAGE	（荣耀黄金）特殊材料（罐子、钥匙、船锚、号角）	integer	3000	
CRYSTAL_WOOD_PERCENTAGE	（璀璨水晶）木材	integer	6000	
CRYSTAL_IRON_PERCENTAGE	（璀璨水晶）铁矿	integer	6000	
CRYSTAL_SHELL_PERCENTAGE	（璀璨水晶）贝壳	integer	2000	
CRYSTAL_ARMS_PERCENTAGE	（璀璨水晶）武器类（鱼叉、石袋、蛇、鸽子等）	integer	3500	
CRYSTAL_SPECIAL_PERCENTAGE	（璀璨水晶）特殊材料（罐子、钥匙、船锚、号角）	integer	3500	
MASTER_WOOD_PERCENTAGE	（超凡大师）木材	integer	6500	
MASTER_IRON_PERCENTAGE	（超凡大师）铁矿	integer	6500	
MASTER_SHELL_PERCENTAGE	（超凡大师）贝壳	integer	2400	
MASTER_ARMS_PERCENTAGE	（超凡大师）武器类（鱼叉、石袋、蛇、鸽子等）	integer	4000	
MASTER_SPECIAL_PERCENTAGE	（超凡大师）特殊材料（罐子、钥匙、船锚、号角）	integer	4000	
CHAMPION_WOOD_PERCENTAGE	（至尊冠军）木材	integer	7000	
CHAMPION_IRON_PERCENTAGE	（至尊冠军）铁矿	integer	7000	
CHAMPION_SHELL_PERCENTAGE	（至尊冠军）贝壳	integer	2800	
CHAMPION_ARMS_PERCENTAGE	（至尊冠军）武器类（鱼叉、石袋、蛇、鸽子等）	integer	4500	
CHAMPION_SPECIAL_PERCENTAGE	（至尊冠军）特殊材料（罐子、钥匙、船锚、号角）	integer	4500	
