heroid	name	dec	arms	hero_type	occupation	lv	nextLv	nextNeedItem	nextNeedSort	icon	color	attack_type	attack_anim_time	fly_weapon_name	fly_weapon_time	fly_weapon_position_array	attack_interval	hit_name	get_merge_audio	attack_audio	skill_audio	death_audio	success_audio	defense	attack	hp	range	search_range	speed	battle	souls	quantity	itemType	itemNum	reward	num	price	barracks	unlock	sort	sequence	skill_id	passive_skill_array	passive_skill_id	passive_skill_id	passive_skill_id	
英雄id	名称	描述	种类	"类型 0：普通英雄 1：超级英雄 2：城墙"	职业	等级	下级id	下级所需道具	下级英雄所需卷轴	图片	品质	"攻击类型 1：近战 2：远程"	攻击动画的总时间	飞行武器预设名	"攻击动画飞行武器出现的时间 秒"	攻击动画飞行武器出现的位置	"攻击间隔 秒"	普攻被击预设名	获得和合成音效	普攻音效,2倍速名字加后缀_x2	技能音效,2倍速名字加后缀_x2	死亡音效,2倍速名字加后缀_x2	胜利音效,2倍速名字加后缀_x2	防御	攻击	血值	攻击范围px	搜索范围px	移速	战斗力	折算魂魄	数量	合成所需道具	合成所需道具数量	合成奖励	合成奖励数量	售价	兵营等级	解锁卷轴	卷轴	出战排序	技能id	被动技能id数组	被动技能id1	被动技能id2	被动技能id3	
integer	string	string	integer	integer	integer	integer	string	string	string	integer	integer	integer	float	string	float	string	float	string	string	string	string	string	string	integer	integer	integer	integer	integer	integer	integer	integer	integer	string	string	integer	integer	integer	integer	integer	integer	integer	integer	array	integer	integer	integer	
key	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
30001	"Dân Làng"	""	0	0	0	1	31001|32001|33001|39001	18001|18002|18003|18006	23001|23002|23003|23014	30001	1	1	0	""	0	0,0|0,0	15000	hit	144_30000	""	""	""	""	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0|1|3	0	0	0	
31001	"Ngư Xoa Binh"	""	1	0	1	1	31002|35001	31001|18005	23001|23005	31001	1	1	7000	""	4000	0,0|0,0	15000	hit	157_31000	66_31000	142_31000	124_31000_death	125_31000_success	5	220	2600	100	260	50	1	22001	1	30001|18001	1|1	0	0	5	0	23001	1	145	70001	0|1|3	0	0	0	
31002	"Ngư Xoa Binh"	""	1	0	1	2	31003|35001	31002|18005	23001|23005	31002	2	1	7000	""	4000	0,0|0,0	15000	hit	157_31000	66_31000	142_31000	124_31000_death	125_31000_success	6	260	3000	100	260	50	1	22002	1	31001	2	0	0	10	0	0	0	136	70001	0|1|3	0	0	0	
31003	"Ngư Xoa Binh"	""	1	0	1	3	35002	18005	23005	31003	3	1	7000	""	4000	0,0|0,0	15000	hit	157_31000	66_31000	142_31000	124_31000_death	125_31000_success	7	320	3500	100	260	50	1	22003	1	31002	2	0	0	15	0	0	0	123	70001	0|1|3	0	0	0	
32001	"Lính Bắn Đá"	""	2	0	2	1	32002|34001|43001	32001|18004|18011	23002|23004|23016	32001	1	2	8000	fly_1	4000	-44,39|-53,77	9000	hit	150_32000	59_34000	136_32000	110_32000_death	111_32000_success	0	300	1000	170	340	40	1	22001	1	30001|18002	1|1	0	0	5	1	23002	2	144	70002	0|1|3	0	0	0	
32002	"Lính Bắn Đá"	""	2	0	2	2	32003|34001|43001	32002|18004|18011	23002|23004|23016	32002	2	2	8000	fly_1	4000	-44,39|-53,77	9000	hit	150_32000	59_34000	136_32000	110_32000_death	111_32000_success	0	350	1300	170	340	40	1	22002	1	32001	2	0	0	10	1	0	0	135	70002	0|1|3	0	0	0	
32003	"Lính Bắn Đá"	""	2	0	2	3	34002|43002	18004|18011	23004|23016	32003	3	2	8000	fly_1	4000	-44,39|-53,77	9000	hit	150_32000	59_34000	136_32000	110_32000_death	111_32000_success	0	400	1600	170	340	40	1	22003	1	32002	2	0	0	15	1	0	0	122	70002	0|1|3	0	0	0	
33001	"Lính Cầm Khiên"	""	3	0	3	1	33002|37001	33001|18006	23003|23007	33001	1	1	10000	""	5000	0,0|0,0	18000	hit	151_33000	60_33000	137_33000	112_33000_death	113_33000_success	10	170	4500	100	240	55	1	22001	1	30001|18003	1|1	0	0	5	2	23003	3	143	70003	0|1|3	0	0	0	
33002	"Lính Cầm Khiên"	""	3	0	3	2	33003|37001	33002|18006	23003|23007	33002	2	1	10000	""	5000	0,0|0,0	18000	hit	151_33000	60_33000	137_33000	112_33000_death	113_33000_success	20	190	5500	100	240	55	1	22002	1	33001	2	0	0	10	2	0	0	134	70003	0|1|3	0	0	0	
33003	"Lính Cầm Khiên"	""	3	0	3	3	37002	18006	23007	33003	3	1	10000	""	5000	0,0|0,0	18000	hit	151_33000	60_33000	137_33000	112_33000_death	113_33000_success	30	210	6500	100	240	55	1	22003	1	33002	2	0	0	15	2	0	0	121	70003	0|1|3	0	0	0	
34001	"Tay Bắn Cung"	""	4	0	2	1	34002|38001	34001|18007	23004|23008	34001	2	2	8000	fly_2	5900	33,54|-2,102	10000	hit	149_34000	59_34000	135_34000	108_34000_death	109_34000_success	0	440	1250	200	350	40	1	22002	1	32001|18004	1|1	0	0	5	3	23004	4	142	70004	0|1|3	0	0	0	
34002	"Tay Bắn Cung"	""	4	0	2	2	34003|38001	34002|18007	23004|23008	34002	3	2	8000	fly_3	5900	33,54|-2,102	10000	hit	149_34000	59_34000	135_34000	108_34000_death	109_34000_success	0	480	1600	200	350	40	1	22003	1	34001	2	0	0	10	3	0	0	133	70004	0|1|3	0	0	0	
34003	"Tay Bắn Cung"	""	4	0	2	3	38002	18007	23008	34003	4	2	8000	fly_4	5900	33,54|-2,102	10000	hit	149_34000	59_34000	135_34000	108_34000_death	109_34000_success	0	500	1950	200	350	40	1	22004	1	34002	2	0	0	15	3	0	0	120	70004	0|1|3	0	0	0	
35001	"Người Dã Man"	""	5	0	1	1	35002|41001	35001|18008	23005|23010	35001	2	1	11300	""	7000	0,0|0,0	12000	hit	154_35000	63_35000	140_35000	118_35000_death	119_35000_success	10	300	3620	100	260	50	1	22002	1	31001|18005	1|1	0	0	12	4	23005	5	141	70006	0|1|3	0	0	0	
35002	"Người Dã Man"	""	5	0	1	2	35003|41001	35002|18008	23005|23010	35002	3	1	11300	""	7000	0,0|0,0	12000	hit	154_35000	63_35000	140_35000	118_35000_death	119_35000_success	10	380	4420	100	260	50	1	22003	1	35001	2	0	0	16	4	0	0	128	70006	0|1|3	0	0	0	
35003	"Người Dã Man"	""	5	0	1	3	41002	18008	23010	35003	4	1	11300	""	7000	0,0|0,0	12000	hit	154_35000	63_35000	140_35000	118_35000_death	119_35000_success	10	450	5230	100	260	50	1	22004	1	35002	2	0	0	18	4	0	0	117	70006	0|1|3	0	0	0	
36001	"Tường Gỗ"	""	6	2	10	1	36002|36003|36004	18005|18004|18002	23006|23009|23011	36001	1	1	0	""	0	0,0|0,0	25000	hit	11_36000	""	""	""	""	30	0	1200	0	340	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0|1|3	0	0	0	
36002	"Tường Nhọn"	""	7	2	10	1	36003|36004	18004|18002	23009|23011	36002	2	1	0	""	0	0,0|0,0	25000	hit	11_36000	""	""	""	""	50	30	2500	240	340	0	1	0	0	36001|18005	1|1	0	0	12	4	23006	6	0	70007	0|1|3	0	0	0	
36003	"Tường Cung Nỏ"	""	8	2	10	1	36005	18002	23013	36003	2	2	3000	fly_3	3000	0,0|0,0	25000	hit	11_36000	""	""	""	""	40	150	2000	280	340	0	1	0	0	36001|18004	1|1	0	0	16	6	23009	9	0	70010	0|1|3	0	0	0	
36004	"Tường Đá Kiên Cố"	""	9	2	10	1	0	0	0	36004	3	1	0	""	0	0,0|0,0	25000	hit	11_36000	""	""	""	""	80	0	6000	0	340	0	1	0	0	36001|18002	1|1	0	0	18	7	23011	11	0	70013	0|1|3	0	0	0	
36005	"Tường Nỏ Đá"	""	10	2	10	1	0	0	0	36004	4	2	3000	fly_4	3000	0,0|0,0	25000	hit	11_36000	""	""	""	""	60	200	4000	260	340	0	1	0	0	36003|18002	1|1	0	0	20	8	23013	13	0	70014	0|1|3	0	0	0	
37001	"Dũng Sĩ Sơn Khâu"	""	11	0	3	1	37002|42001	37001|18009	23007|23012	37001	2	1	10000	""	5000	0,0|0,0	15000	hit	148_37000	60_33000	134_37000	106_37000_death	107_37000_success	20	260	6500	100	250	55	1	22002	1	33001|18006	1|1	0	0	12	5	23007	7	138	70008	0|1|3	0	0	0	
37002	"Dũng Sĩ Sơn Khâu"	""	11	0	3	2	37003|42001	37002|18009	23007|23012	37002	3	1	10000	""	5000	0,0|0,0	15000	hit	148_37000	60_33000	134_37000	106_37000_death	107_37000_success	30	340	7500	100	250	55	1	22003	1	37001	2	0	0	16	5	0	0	127	70008	0|1|3	0	0	0	
37003	"Dũng Sĩ Sơn Khâu"	""	11	0	3	3	42002	18009	23012	37003	4	1	10000	""	5000	0,0|0,0	15000	hit	148_37000	60_33000	134_37000	106_37000_death	107_37000_success	40	430	8500	100	250	55	1	22004	1	37002	2	0	0	18	5	0	0	116	70008	0|1|3	0	0	0	
38001	"Bộ Lạc Tù Hư"	""	12	0	2	1	38002	38001	23008	38001	2	2	7000	fly_8	3000	23,64|15,94	17000	hit	153_38000	62_38000	139_38000	116_38000_death	117_38000_success	10	340	2750	200	260	40	1	22002	1	34001|18007	1|1	0	0	14	6	23008	8	137	70009	0|1|3	0	0	0	
38002	"Bộ Lạc Tù Hư"	""	12	0	2	2	38003	38002	23008	38002	3	2	7000	fly_9	3000	23,64|15,94	17000	hit	153_38000	62_38000	139_38000	116_38000_death	117_38000_success	10	400	3850	200	260	40	1	22003	1	38001	2	0	0	18	6	0	0	126	70009	0|1|3	0	0	0	
38003	"Bộ Lạc Tù Hư"	""	12	0	2	3	0	0	0	38003	4	2	7000	fly_10	3000	23,64|15,94	17000	hit	153_38000	62_38000	139_38000	116_38000_death	117_38000_success	10	480	4950	200	260	40	1	22004	1	38002	2	0	0	22	6	0	0	115	70009	0|1|3	0	0	0	
39001	"Kiếm Sĩ Lang Thang"	""	13	0	4	1	39002|40001|45001	39001|18005|18006	23014|23015|23017	39001	1	1	7300	""	4000	0,0|0,0	12000	hit	145_39000	57_39000	130_39000	100_39000_death	101_39000_success	10	280	3000	100	260	50	1	22001	1	30001|18006	1|1	0	0	5	1	23014	14	140	70005	0|1|3	0	0	0	
39002	"Kiếm Sĩ Lang Thang"	""	13	0	4	2	39003|40001|45001	39002|18005|18006	23014|23015|23017	39002	2	1	7300	""	4000	0,0|0,0	12000	hit	145_39000	57_39000	130_39000	100_39000_death	101_39000_success	10	320	3550	100	260	50	1	22002	1	39001	2	0	0	10	1	0	0	132	70005	0|1|3	0	0	0	
39003	"Kiếm Sĩ Lang Thang"	""	13	0	4	3	40002|45002	18005|18006	23015|23017	39003	3	1	7300	""	4000	0,0|0,0	12000	hit	145_39000	57_39000	130_39000	100_39000_death	101_39000_success	10	360	4200	100	260	50	1	22003	1	39002	2	0	0	15	1	0	0	119	70005	0|1|3	0	0	0	
40001	"Lính Thương Bão Táp"	""	14	0	4	1	40002|46001	40001|18009	23015|23018	40001	1	1	8000	""	4000	0,0|0,0	13000	hit	152_40000	61_40000	138_40000	114_40000_death	115_40000_success	10	400	3650	100	260	50	1	22001	1	39001|18005	1|1	0	0	5	1	23015	15	139	70011	0|1|3	0	0	0	
40002	"Lính Thương Bão Táp"	""	14	0	4	2	40003|46001	40002|18009	23015|23018	40002	2	1	8000	""	4000	0,0|0,0	13000	hit	152_40000	61_40000	138_40000	114_40000_death	115_40000_success	10	460	4350	100	260	50	1	22002	1	40001	2	0	0	10	1	0	0	131	70011	0|1|3	0	0	0	
40003	"Lính Thương Bão Táp"	""	14	0	4	3	46002	18009	23018	40003	3	1	8000	""	4000	0,0|0,0	13000	hit	152_40000	61_40000	138_40000	114_40000_death	115_40000_success	10	490	5450	100	260	50	1	22003	1	40002	2	0	0	15	1	0	0	118	70011	0|1|3	0	0	0	
41001	"Nàng Tiên Cá"	""	15	0	1	1	41002	41001	23010	41001	2	1	11300	""	7000	0,0|0,0	12000	hit	147_41000	58_41000	133_41000	104_41000_death	105_41000_success	0	350	5750	100	340	40	1	22003	1	35001|18008	1|1	0	0	14	7	23010	10	130	70012	0|1|3	0	0	0	
41002	"Nàng Tiên Cá"	""	15	0	1	2	41003	41002	23010	41002	3	1	11300	""	7000	0,0|0,0	12000	hit	147_41000	58_41000	133_41000	104_41000_death	105_41000_success	0	400	6900	100	340	40	1	22004	1	41001	2	0	0	18	7	0	0	125	70012	0|1|3	0	0	0	
41003	"Nàng Tiên Cá"	""	15	0	1	3	0	0	0	41003	4	1	11300	""	7000	0,0|0,0	12000	hit	147_41000	58_41000	133_41000	104_41000_death	105_41000_success	0	460	8050	100	340	40	1	22005	1	41002	2	0	0	22	7	0	0	114	70012	0|1|3	0	0	0	
42001	"Kị Sĩ Thiết Giáp"	""	16	0	3	1	42002	42001	23012	42001	2	1	10000	""	5000	0,0|0,0	15000	hit	155_42000	64_42000	141_42000	120_42000_death	121_42000_success	30	330	9000	100	240	55	1	22003	1	37001|18009	1|1	0	0	14	8	23012	12	129	70015	0|1|3	0	0	0	
42002	"Kị Sĩ Thiết Giáp"	""	16	0	3	2	42003	42002	23012	42002	3	1	10000	""	5000	0,0|0,0	15000	hit	155_42000	64_42000	141_42000	120_42000_death	121_42000_success	40	440	10000	100	240	55	1	22004	1	42001	2	0	0	18	8	0	0	124	70015	0|1|3	0	0	0	
42003	"Kị Sĩ Thiết Giáp"	""	16	0	3	3	0	0	0	42003	4	1	10000	""	5000	0,0|0,0	15000	hit	155_42000	64_42000	141_42000	120_42000_death	121_42000_success	50	550	11000	100	240	55	1	22005	1	42002	2	0	0	22	8	0	0	113	70015	0|1|3	0	0	0	
43001	"Phù Thuỷ Ma Thuật"	""	17	0	2	1	43002	43001	23016	43001	2	2	11300	fly_2	5900	-129,84|75,158	12000	hit	156_43000	65_43000	132_43000	122_43000_death	123_43000_success	0	360	1500	260	340	40	1	22003	1	32001|18011	1|1	0	0	14	1	23016	16	112	70016	0|1|3	0	0	0	
43002	"Phù Thuỷ Ma Thuật"	""	17	0	2	2	43003	43002	23016	43002	3	2	11300	fly_3	5900	-129,84|75,158	12000	hit	156_43000	65_43000	132_43000	122_43000_death	123_43000_success	0	400	2000	260	340	40	1	22004	1	43001	2	0	0	18	1	0	0	111	70016	0|1|3	0	0	0	
43003	"Phù Thuỷ Ma Thuật"	""	17	0	2	3	0	0	0	43003	4	2	11300	fly_4	5900	-129,84|75,158	12000	hit	156_43000	65_43000	132_43000	122_43000_death	123_43000_success	0	440	2500	260	340	40	1	22005	1	43002	2	0	0	22	1	0	0	110	70016	0|1|3	0	0	0	
44001	"Rồng"	""	18	0	5	1	44002	44001	23019	44001	2	2	11300	fly_2	5900	-129,84|75,158	12000	hit	158_44000	""	143_44000	126_44000_death	127_44000_success	40	860	8800	100	340	45	1	22004	1	45001|18011	1|1	0	0	14	1	23019	19	101	70019	0|1|3	0	0	0	
44002	"Rồng"	""	18	0	5	1	44003	44002	23019	44002	3	2	11300	fly_3	5900	-129,84|75,158	12000	hit	158_44000	""	143_44000	126_44000_death	127_44000_success	50	1010	12100	100	340	45	1	22005	1	44001	2	0	0	18	1	0	0	102	70019	0|1|3	0	0	0	
44003	"Rồng"	""	18	0	5	1	0	0	0	44003	4	2	11300	fly_4	5900	-129,84|75,158	12000	hit	158_44000	""	143_44000	126_44000_death	127_44000_success	60	1160	14300	100	340	45	1	22006	1	44002	2	0	0	22	1	0	0	103	70019	0|1|3	0	0	0	
45001	"Đại Nguyên Soái"	""	19	0	5	1	45002|44001	45001|18011	23017|23019	45001	2	2	11300	fly_2	5900	-129,84|75,158	12000	hit	146_45000	64_42000	131_45000	102_45000_death	103_45000_success	40	450	6000	100	340	50	1	22003	1	39001|18006	1|1	0	0	14	1	23017	17	104	70017	0|1|3	0	0	0	
45002	"Đại Nguyên Soái"	""	19	0	5	2	45003|44001	45002|18011	23017|23019	45002	3	2	11300	fly_3	5900	-129,84|75,158	12000	hit	146_45000	64_42000	131_45000	102_45000_death	103_45000_success	50	510	7000	100	340	50	1	22004	1	45001	2	0	0	18	1	0	0	105	70017	0|1|3	0	0	0	
45003	"Đại Nguyên Soái"	""	19	0	5	3	44002	18011	23019	45003	4	2	11300	fly_4	5900	-129,84|75,158	12000	hit	146_45000	64_42000	131_45000	102_45000_death	103_45000_success	60	570	8000	100	340	50	1	22005	1	45002	2	0	0	22	1	0	0	106	70017	0|1|3	0	0	0	
46001	"Nhân Mã Chiến Kị"	""	20	0	5	1	46002	46001	23018	46001	2	2	11300	fly_2	5900	-129,84|75,158	12000	hit	""	61_40000	129_46000	98_46000_death	99_46000_success	40	550	5060	100	340	60	1	22003	1	40001|18009	1|1	0	0	14	1	23018	18	107	70018	0|1|3	0	0	0	
