id	lv_id	star	buildLv	
排名	段位区间	星星数	城堡等级	
integer	integer	integer	integer	
key	key1	""	""	
1	1	158	7	
2	1	155	7	
3	1	149	7	
4	1	146	7	
5	1	145	7	
6	1	141	6	
7	1	138	6	
8	1	168	6	
9	1	168	6	
10	1	167	6	
11	1	167	6	
12	1	165	6	
13	1	163	6	
14	1	162	6	
15	1	161	6	
16	1	160	5	
17	1	160	5	
18	1	159	5	
19	1	159	5	
20	1	159	5	
21	1	158	5	
22	1	158	5	
23	1	158	5	
24	1	157	5	
25	1	157	5	
26	1	157	5	
27	1	156	5	
28	1	156	5	
29	1	156	5	
30	1	155	5	
31	1	155	5	
32	1	155	5	
33	1	154	5	
34	1	154	5	
35	1	154	5	
36	1	153	5	
37	1	153	5	
38	1	153	5	
39	1	153	5	
40	1	152	5	
41	1	152	5	
42	1	152	5	
43	1	151	5	
44	1	151	5	
45	1	151	5	
46	1	149	5	
47	1	147	5	
48	1	145	5	
49	1	143	5	
50	1	141	5	
51	1	139	5	
52	1	137	5	
53	1	135	5	
54	1	133	5	
55	1	131	5	
56	1	129	5	
57	1	128	5	
58	1	126	5	
59	1	125	5	
60	1	123	5	
61	1	121	5	
62	1	119	5	
63	1	116	5	
64	1	115	5	
65	1	114	5	
66	1	113	5	
67	1	112	5	
68	1	111	4	
69	1	110	4	
70	1	109	4	
71	1	108	4	
72	1	107	4	
73	1	106	4	
74	1	104	4	
75	1	102	4	
76	1	101	4	
77	1	99	4	
78	1	97	4	
79	1	95	4	
80	1	93	4	
81	1	92	4	
82	1	90	4	
83	1	88	4	
84	1	86	4	
85	1	85	4	
86	1	84	4	
87	1	83	4	
88	1	82	4	
89	1	81	4	
90	1	80	4	
91	1	79	4	
92	1	78	4	
93	1	77	4	
94	1	76	4	
95	1	75	4	
96	1	74	4	
97	1	73	4	
98	1	72	4	
99	1	71	4	
100	1	70	4	
101	1	69	4	
102	1	68	4	
103	1	67	4	
104	1	65	4	
105	1	65	4	
106	1	65	4	
107	1	65	4	
108	1	65	4	
109	1	63	4	
110	1	63	4	
111	1	63	4	
112	1	63	4	
113	1	62	4	
114	1	61	4	
115	1	60	4	
116	1	60	4	
117	1	60	4	
118	1	60	4	
119	1	58	4	
120	1	56	3	
121	1	55	3	
122	1	55	3	
123	1	55	3	
124	1	54	3	
125	1	52	3	
126	1	50	3	
127	1	50	3	
128	1	50	3	
129	1	50	3	
130	1	50	3	
131	1	50	3	
132	1	50	3	
133	1	50	3	
134	1	50	3	
135	1	50	3	
136	1	50	3	
137	1	50	3	
138	1	50	3	
139	1	50	3	
140	1	50	3	
141	1	49	3	
142	1	49	3	
143	1	48	3	
144	1	48	3	
145	1	46	3	
146	1	44	3	
147	1	43	3	
148	1	42	3	
149	1	41	3	
150	1	40	3	
151	1	39	3	
152	1	38	3	
153	1	37	3	
154	1	36	3	
155	1	35	3	
156	1	34	3	
157	1	33	3	
158	1	32	3	
159	1	31	3	
160	1	30	3	
161	1	29	3	
162	1	28	3	
163	1	27	3	
164	1	27	3	
165	1	26	3	
166	1	26	3	
167	1	25	3	
168	1	25	3	
169	1	25	3	
170	1	25	3	
171	1	25	3	
172	1	25	3	
173	1	24	3	
174	1	24	2	
175	1	24	2	
176	1	24	2	
177	1	23	2	
178	1	20	2	
179	1	20	2	
180	1	20	2	
181	1	19	2	
182	1	19	2	
183	1	19	2	
184	1	18	2	
185	1	18	2	
186	1	17	2	
187	1	16	2	
188	1	16	2	
189	1	16	2	
190	1	16	2	
191	1	15	2	
192	1	15	2	
193	1	13	2	
194	1	13	2	
195	1	12	2	
196	1	10	2	
197	1	8	2	
198	1	6	2	
199	1	3	2	
200	1	2	2	
