id	name	type	lv	icon	anim_name	color	next	number	price	xoffset	offset	soundID	
道具id	名称	类型	等级	图片	是否有动画,不为空对应的资源是预设，不是图片	品质	合成奖励道具	合成奖励道具数量	售价	地表x偏移	地表y偏移	音效	
integer	string	integer	integer	integer	string	integer	integer	integer	integer	integer	integer	string	
key	""	""	""	""	""	""	""	""	""	""	""	""	
11001	"Ngôi Sao"	5	0	11001	""	3	0	0	0	0	0	""	
11002	"Vàng"	3	0	11002	""	4	0	0	0	0	0	""	
11003	"Kim Cương"	4	0	11003	""	5	0	0	0	0	0	""	
11004	"Gỗ"	1	0	11004	""	1	0	0	0	0	0	""	
11005	"Quặng Sắt"	2	0	11005	""	1	0	0	0	0	0	""	
11006	"Thùng Gỗ"	6	0	11006	""	1	0	0	0	-1	14	""	
11007	"Thùng Bạc"	6	0	11007	""	2	0	0	0	-1	14	""	
11008	"Thùng Vàng"	6	0	11008	""	3	0	0	0	-1	14	""	
11009	"Hộp Mù Cao Cấp"	21	0	21057	""	4	0	0	3501	7	24	""	
11010	"Hộp Siêu Mù"	22	0	20008	""	3	0	0	3601	7	24	""	
12001	"Chìa Khóa 1"	7	1	12001	""	1	12002	1	3	2	4	83_12001	
12002	"Chìa Khóa 2"	7	2	12002	""	1	12003	2	6	2	4	83_12001	
12003	"Chìa Khóa 3"	7	3	12003	""	2	12004	4	10	2	4	83_12001	
12004	"Chìa Khóa 4"	7	4	12004	""	2	12005	8	15	2	4	83_12001	
12005	"Chìa Khóa 5"	7	5	12005	""	3	12006	16	20	2	4	83_12001	
12006	"Chìa Khóa 6"	7	6	12006	""	3	12007	32	25	2	4	83_12001	
12007	"Chìa Khóa 7"	7	7	12007	""	4	12008	64	30	2	4	83_12001	
12008	"Chìa Khóa 8"	7	8	12008	""	4	0	128	35	2	4	83_12001	
13001	"Mỏ Neo 1"	8	1	13001	""	1	13002	1	3	5	11	80_13001	
13002	"Mỏ Neo 2"	8	2	13002	""	1	13003	2	6	5	11	80_13001	
13003	"Mỏ Neo 3"	8	3	13003	""	2	13004	4	10	5	11	80_13001	
13004	"Mỏ Neo 4"	8	4	13004	""	2	13005	8	15	5	11	80_13001	
13005	"Mỏ Neo 5"	8	5	13005	""	3	13006	16	20	5	11	80_13001	
13006	"Mỏ Neo 6"	8	6	13006	""	3	13007	32	25	5	11	80_13001	
13007	"Mỏ Neo 7"	8	7	13007	""	4	13008	64	30	5	11	80_13001	
13008	"Mỏ Neo 8"	8	8	13008	""	4	0	128	35	5	11	80_13001	
14001	"Sừng 1"	9	1	14001	""	1	14002	1	3	-2	12	68_14001	
14002	"Sừng 2"	9	2	14002	""	1	14003	2	6	-2	12	68_14001	
14003	"Sừng 3"	9	3	14003	""	2	14004	4	10	-2	12	68_14001	
14004	"Sừng 4"	9	4	14004	""	2	14005	8	15	-2	12	68_14001	
14005	"Sừng 5"	9	5	14005	""	3	14006	16	20	-2	12	68_14001	
14006	"Sừng 6"	9	6	14006	""	3	14007	32	25	-2	12	68_14001	
14007	"Sừng 7"	9	7	14007	""	4	14008	64	30	-2	12	68_14001	
14008	"Sừng 8"	9	8	14008	""	4	0	128	35	-2	12	68_14001	
15001	"Bình 1"	10	1	15001	""	1	15002	1	3	3	15	79_15001	
15002	"Bình 2"	10	2	15002	""	1	15003	2	6	3	15	79_15001	
15003	"Bình 3"	10	3	15003	""	2	15004	4	10	3	15	79_15001	
15004	"Bình 4"	10	4	15004	""	2	15005	8	15	3	15	79_15001	
15005	"Bình 5"	10	5	15005	""	3	15006	16	20	3	15	79_15001	
15006	"Bình 6"	10	6	15006	""	3	15007	32	25	3	15	79_15001	
15007	"Bình 7"	10	7	15007	""	4	15008	64	30	3	15	79_15001	
15008	"Bình 8"	10	8	15008	""	4	0	128	35	3	15	79_15001	
16001	"Gỗ"	1	1	16001	""	1	16002	1	3	0	2	72_16001	
16002	"Gỗ 2"	1	2	16002	""	1	16003	3	6	0	2	72_16001	
16003	"Gỗ 3"	1	3	16003	""	2	16004	7	10	0	2	72_16001	
16004	"Gỗ 4"	1	4	16004	""	2	16005	15	15	0	2	72_16001	
16005	"Gỗ 5"	1	5	16005	""	3	16006	31	20	4	6	72_16001	
16006	"Gỗ 6"	1	6	16006	""	3	16007	63	25	-1	7	72_16001	
16007	"Gỗ 7"	1	7	16007	""	4	16008	128	30	3	12	72_16001	
16008	"Gỗ 8"	1	8	16008	""	4	0	260	35	-1	18	72_16001	
17001	"Quặng Sắt"	2	1	17001	""	1	17002	1	3	1	4	84_17001	
17002	"Quặng Sắt 2"	2	2	17002	""	1	17003	3	6	1	4	84_17001	
17003	"Quặng Sắt 3"	2	3	17003	""	2	17004	7	10	1	4	84_17001	
17004	"Quặng Sắt 4"	2	4	17004	""	2	17005	15	15	1	4	84_17001	
17005	"Quặng Sắt 5"	2	5	17005	""	3	17006	31	20	1	4	84_17001	
17006	"Quặng Sắt 6"	2	6	17006	""	3	17007	63	25	1	7	84_17001	
17007	"Quặng Sắt 7"	2	7	17007	""	4	17008	128	30	0	15	84_17001	
17008	"Quặng Sắt 8"	2	8	17008	""	4	0	260	35	-1	18	84_17001	
18001	"Lao Móc"	11	0	18001	""	2	0	0	5	2	5	87_18001	
18002	"Túi Đá"	11	0	18002	""	2	0	0	5	1	5	78_18002	
18003	"KhiênKhiên"	11	0	18003	""	2	0	0	5	4	5	76_18003	
18004	"Cung Tên"	11	0	18004	""	2	0	0	6	-3	3	70_18004	
18005	"Súng"	11	0	18005	""	2	0	0	6	-1	3	85_18005	
18006	"Gươm"	11	0	18006	""	2	0	0	7	1	2	67_18006	
18007	"Chim Bồ Câu"	11	0	18007	""	5	0	0	8	4	2	75_18007	
18008	"Rắn"	11	0	18008	""	5	0	0	10	3	2	81_18008	
