lv	name	icon_id	star	reward_array	reward_id	reward_num	reward_id	reward_num	reward_id	reward_num	reward_id	reward_num	""	""	
梯度等级	名称	段位图像id	需要的星星数	奖励数组	奖励id(木桶)	奖励数量	奖励id(金币	奖励数量	奖励id(钻石	奖励数量	奖励id(卷)	奖励数量	""	""	
integer	string	integer	integer	array	integer	integer	integer	integer	integer	integer	integer	integer	""	""	
key	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
1	"Đồng"	1	20	4|2|4	11006	0	11002	0	11003	0	0	0	""	sheep	
2	"Đồng 1"	1	60	4|2|4	11006	5	11002	0	11003	0	0	0	""	sheep1	
3	"Đồng 2"	1	100	4|2|4	11006	5	11002	35	11003	0	0	0	""	sheep2	
4	"Đồng 3"	1	160	4|2|4	11006	5	11002	45	11003	3	0	0	""	sheep3	
5	"Bạc"	2	230	4|2|4	11006	0	11002	75	11003	5	23014	1	剑客	fox	
6	"Bạc 1"	2	320	4|2|4	11006	5	11002	0	11003	0	0	0	""	fox1	
7	"Bạc 2"	2	440	4|2|4	11006	5	11002	55	11003	0	0	0	""	fox2	
8	"Bạc 3"	2	560	4|2|4	11006	5	11002	85	11003	3	0	0	""	fox3	
9	"Vàng"	3	680	4|2|4	11006	0	11002	105	11003	5	23015	1	枪兵	boar	
10	"Vàng 1"	3	820	4|2|4	11006	5	11002	0	11003	0	0	0	""	boar1	
11	"Vàng 2"	3	950	4|2|4	11006	5	11002	85	11003	0	0	0	""	boar2	
12	"Vàng 3"	3	1150	4|2|4	11006	5	11002	105	11003	3	0	0	""	boar3	
13	"Kim  Cương"	4	1400	4|2|4	11006	0	11002	125	11003	5	23016	1	魔法女巫	ram	
14	"Kim  Cương 1"	4	1600	4|2|4	11006	5	11002	0	11003	0	0	0	""	ram1	
15	"Kim  Cương 2"	4	1820	4|2|4	11006	5	11002	105	11003	0	0	0	""	ram2	
16	"Kim  Cương 3"	4	2150	4|2|4	11006	5	11002	125	11003	4	0	0	""	ram3	
17	"Tối Cao"	5	2390	4|2|4	11006	0	11002	150	11003	6	23017	1	大元帅	wolf	
18	"Tối Cao 1"	5	2640	4|2|4	11006	5	11002	0	11003	0	0	0	""	wolf1	
19	"Tối Cao 2"	5	2900	4|2|4	11006	5	11002	125	11003	0	0	0	""	wolf2	
20	"Tối Cao 3"	5	3170	4|2|4	11006	5	11002	150	11003	4	0	0	""	wolf3	
21	"Vô Song"	6	3450	4|2|4	11006	0	11002	175	11003	6	23018	1	人马战骑	bear	
22	"Vô Song 1"	6	3740	4|2|4	11006	5	11002	0	11003	0	0	0	""	bear1	
23	"Vô Song 2"	6	4040	4|2|4	11006	5	11002	150	11003	0	0	0	""	bear2	
24	"Vô Song 3"	6	4350	4|2|4	11006	5	11002	175	11003	5	0	0	""	bear3	
25	"Hải Vương"	7	4670	4|2|4	11006	0	11002	200	11003	8	0	0	""	lion	
26	"Hải Vương 1"	7	5000	4|2|4	11006	35	11002	0	11003	0	0	0	""	lion1	
27	"Hải Vương 2"	7	5340	4|2|4	11006	35	11002	245	11003	0	0	0	""	lion2	
28	"Hải Vương 3"	7	5690	4|2|4	11006	35	11002	285	11003	5	23019	1	龙	lion3	
