id	star	reward_array	reward_id	reward_num	reward_id	reward_num	reward_id	reward_num	reward_id	reward_num	""	""	
序号	需要的星星数	奖励数组	奖励id(木桶)	奖励数量	奖励id(金币	奖励数量	奖励id(钻石	奖励数量	奖励id(卷)	奖励数量	""	""	
integer	integer	array	integer	integer	integer	integer	integer	integer	integer	integer	""	""	
key	""	""	""	""	""	""	""	""	""	""	""	""	
1	15	4|2|4	11006	5	0	0	0	0	0	0	""	sheep	
2	45	4|2|4	11006	5	11002	15	0	0	0	0	""	sheep1	
3	80	4|2|4	11006	5	11002	20	0	0	23014	1	"Kiếm Khách"	sheep2	
4	150	4|2|4	11006	5	11002	25	11003	2	0	0	""	sheep3	
5	230	4|2|4	11006	0	11002	30	11003	3	23015	1	"Lính Giáo"	fox	
6	320	4|2|4	11006	5	11002	30	0	0	0	0	""	fox1	
7	440	4|2|4	11006	5	11002	35	0	0	0	0	""	fox2	
8	560	4|2|4	11006	5	11002	40	11003	2	0	0	""	fox3	
9	680	4|2|4	11006	0	11002	45	11003	4	23016	1	"Phù Thủy Ma Thuật"	boar	
10	820	4|2|4	11006	5	11002	45	0	0	0	0	""	boar1	
11	950	4|2|4	11006	5	11002	50	0	0	0	0	""	boar2	
12	1150	4|2|4	11006	5	11002	55	11003	3	0	0	""	boar3	
13	1400	4|2|4	11006	0	11002	60	11003	5	0	0	""	ram	
14	1600	4|2|4	11006	5	11002	60	0	0	0	0	""	ram1	
15	1820	4|2|4	11006	5	11002	65	0	0	23017	1	"Đại Nguyên Soái"	ram2	
16	2150	4|2|4	11006	5	11002	70	11003	3	0	0	""	ram3	
17	2390	4|2|4	11006	0	11002	75	11003	5	0	0	""	wolf	
18	2640	4|2|4	11006	5	11002	75	0	0	0	0	""	wolf1	
19	2900	4|2|4	11006	5	11002	80	0	0	0	0	""	wolf2	
20	3170	4|2|4	11006	5	11002	85	11003	3	0	0	""	wolf3	
21	3450	4|2|4	11006	0	11002	90	11003	5	23018	1	"Nhân Mã Chiến Kỵ"	bear	
22	3740	4|2|4	11006	5	11002	90	0	0	0	0	""	bear1	
23	4040	4|2|4	11006	5	11002	95	0	0	0	0	""	bear2	
24	4350	4|2|4	11006	5	11002	100	11003	3	0	0	""	bear3	
25	4670	4|2|4	0	0	11002	105	11003	5	0	0	""	lion	
26	5000	4|2|4	11006	5	11002	105	11003	0	0	0	""	lion1	
27	5340	4|2|4	11006	5	11002	110	11003	0	0	0	""	lion2	
28	5690	4|2|4	11006	5	0	0	11003	5	23019	1	"Rồng"	lion3	
