lv	iconId	ranking_a	ranking_b	reward_array	reward_id	reward_num	reward_id	reward_num	
区间等级	图标显示	排名区间	排名区间	奖励数组	奖励id	奖励数量	奖励id	奖励数量	
integer	integer	integer	integer	array	integer	integer	integer	integer	
key	""	""	""	""	""	""	""	""	
1	1	1001	99999	2|2|2	11003	1	11006	1	
2	1	501	1000	2|2|2	11003	3	11006	2	
3	2	201	500	2|2|2	11003	5	11006	3	
4	3	101	200	2|2|2	11003	8	11006	4	
5	4	51	100	2|2|2	11003	10	11006	5	
6	5	11	50	2|2|2	11003	20	11006	8	
7	6	4	10	2|2|2	11003	30	11006	10	
8	6	2	3	2|2|2	11003	40	11006	15	
9	6	1	1	2|2|2	11003	50	11006	20	
