castle_lv	lighthouse_lv	pool_id	
城堡等级	瞭望塔等级	池子	
integer	integer	integer	
key	key	""	
51001	59001	1000	
51002	59001	1001	
51002	59002	1002	
51003	59001	1003	
51003	59002	1003	
51003	59003	1003	
51004	59001	1004	
51004	59002	1004	
51004	59003	1005	
51004	59004	1005	
51005	59001	1006	
51005	59002	1006	
51005	59003	1006	
51005	59004	1007	
51005	59005	1007	
51006	59001	1008	
51006	59002	1008	
51006	59003	1008	
51006	59004	1008	
51006	59005	1008	
51006	59006	1008	
51007	59001	1009	
51007	59002	1009	
51007	59003	1009	
51007	59004	1010	
51007	59005	1010	
51007	59006	1010	
51007	59007	1010	
51008	59001	1011	
51008	59002	1011	
51008	59003	1011	
51008	59004	1011	
51008	59005	1011	
51008	59006	1011	
51008	59007	1011	
51008	59008	1011	
51009	59001	1012	
51009	59002	1012	
51009	59003	1012	
51009	59004	1012	
51009	59005	1012	
51009	59006	1013	
51009	59007	1013	
51009	59008	1013	
51009	59009	1013	
51010	59001	1014	
51010	59002	1014	
51010	59003	1014	
51010	59004	1014	
51010	59005	1014	
51010	59006	1014	
51010	59007	1015	
51010	59008	1015	
51010	59009	1015	
51010	59010	1015	
51011	59001	1016	
51011	59002	1016	
51011	59003	1016	
51011	59004	1016	
51011	59005	1016	
51011	59006	1016	
51011	59007	1016	
51011	59008	1016	
51011	59009	1016	
51011	59010	1016	
51012	59001	1017	
51012	59002	1017	
51012	59003	1017	
51012	59004	1017	
51012	59005	1017	
51012	59006	1017	
51012	59007	1017	
51012	59008	1018	
51012	59009	1018	
51012	59010	1018	
51013	59001	1019	
51013	59002	1019	
51013	59003	1019	
51013	59004	1019	
51013	59005	1019	
51013	59006	1019	
51013	59007	1019	
51013	59008	1019	
51013	59009	1020	
51013	59010	1020	
51014	59000	1021	
51014	59001	1021	
51014	59002	1021	
51014	59003	1021	
51014	59004	1021	
51014	59005	1021	
51014	59006	1021	
51014	59007	1021	
51014	59008	1021	
51014	59009	1021	
51014	59010	1022	
51015	59001	1023	
51015	59002	1023	
51015	59003	1023	
51015	59004	1023	
51015	59005	1023	
51015	59006	1023	
51015	59007	1023	
51015	59008	1023	
51015	59009	1023	
51015	59010	1023	
