cellID	areaID	lock	comTimes	itemType	itemID	isObstruct	plantID	landImgID	landYOffset	plantXOffset	plantYOffset	mapIndex	
格子ID	所属区域        	开启顺序	合成次数	道具类型	道具ID	是否障碍	植物ID	地表贴图ID	地表Y偏移	树x坐标	树y坐标	地图索引	
integer	integer	integer	integer	integer	integer	integer	integer	integer	integer	integer	integer	integer	
key	""	""	""	""	""	""	""	""	""	""	""	""	
0	11	0	10000	0	0	0	0	18	104	0	76	13	
1	11	1	10000	0	0	0	0	18	86	0	76	14	
2	11	2	10000	0	0	0	0	19	66	0	76	15	
3	11	3	10000	0	0	0	0	18	39	0	76	16	
4	11	4	10000	0	0	0	0	18	87	0	76	32	
5	11	5	10000	0	0	0	0	19	83	0	76	33	
6	11	6	10000	0	0	0	0	18	84	0	76	34	
7	11	7	10000	0	0	0	0	18	62	0	76	35	
8	11	8	10000	0	0	0	0	19	36	7	31	36	
9	9	11	10000	0	0	0	0	20	135	0	76	43	
10	9	10	10000	0	0	1	134	21	111	19	62	44	
11	9	9	10000	0	0	1	134	21	108	19	68	45	
12	9	8	10000	0	0	1	134	20	90	15	58	46	
13	9	37	4	0	0	0	0	21	69	29	72	47	
14	9	36	4	1	17001	0	0	20	54	0	76	48	
15	11	9	10000	0	0	0	0	19	66	0	76	52	
16	11	10	10000	0	0	0	0	18	39	0	76	53	
17	11	11	10000	0	0	0	0	19	65	0	76	54	
18	11	12	10000	0	0	0	148	19	57	-12	13	55	
19	9	7	10000	0	0	0	0	21	100	0	76	63	
20	9	6	10000	0	0	0	0	21	71	0	76	64	
21	9	5	10000	0	0	0	0	21	69	0	76	65	
22	9	4	10000	0	0	0	0	21	69	0	76	66	
23	9	35	4	0	0	0	0	20	55	0	76	67	
24	9	34	4	1	16001	0	0	20	57	0	72	68	
25	10	5	5	0	0	0	0	8	36	0	72	69	
26	11	27	6	0	0	0	0	18	63	0	76	73	
27	11	28	6	1	17002	0	0	19	52	0	76	74	
28	9	3	10000	0	0	0	0	21	78	0	76	83	
29	9	2	10000	0	0	0	0	21	71	0	76	84	
30	9	1	10000	0	0	0	0	21	56	0	76	85	
31	9	38	4	1	26801	0	0	20	55	0	76	86	
32	9	33	4	1	17002	0	0	21	57	0	76	87	
33	9	32	4	0	0	0	0	20	55	0	76	88	
34	10	4	5	0	0	0	0	8	33	0	76	89	
35	10	9	5	0	0	1	130	8	42	12	67	90	
36	10	13	5	0	0	1	132	8	51	12	79	91	
37	11	24	6	0	0	0	0	18	46	0	76	93	
38	11	25	6	1	26501	0	0	18	46	0	76	94	
39	11	26	6	1	16002	0	0	19	44	0	76	95	
40	9	0	10000	0	0	1	0	20	45	27	98	102	
41	9	41	4	1	16002	0	0	20	56	0	76	104	
42	9	40	4	0	0	0	0	21	51	0	76	105	
43	9	39	4	0	0	0	0	20	62	0	76	106	
44	9	31	4	0	0	0	0	21	47	0	76	107	
45	9	30	4	0	0	0	0	20	45	0	76	108	
46	10	3	5	1	17001	0	0	7	30	0	76	109	
47	10	8	5	0	0	0	0	7	34	0	76	110	
48	10	12	5	0	0	1	131	7	57	19	63	111	
49	10	16	5	0	0	1	130	8	55	6	67	112	
50	11	20	6	1	17001	0	0	7	42	0	76	113	
51	11	21	6	0	0	0	0	1	40	0	76	114	
52	11	22	6	0	0	0	0	6	39	0	76	115	
53	11	23	6	0	0	1	101	41	40	22	69	116	
54	9	29	4	0	0	0	0	8	52	0	76	123	
55	9	28	4	1	16001	0	0	20	59	0	76	124	
56	9	27	4	0	0	0	0	20	60	0	76	125	
57	9	26	4	1	17002	0	0	21	62	0	76	126	
58	9	25	4	0	0	0	0	20	44	0	76	127	
59	9	24	4	0	0	1	135	7	31	8	70	128	
60	10	2	5	1	16001	0	0	8	30	0	76	129	
61	10	7	5	0	0	0	0	8	32	0	76	130	
62	10	11	5	1	17002	0	0	8	54	0	76	131	
63	10	15	5	1	16002	0	0	7	52	0	76	132	
64	11	16	6	1	26501	0	0	6	39	0	76	133	
65	11	17	6	0	0	0	0	6	41	0	76	134	
66	11	18	6	0	0	0	0	2	41	0	76	135	
67	11	19	6	1	16001	0	0	6	41	0	76	136	
68	9	18	4	0	0	0	0	8	50	0	76	143	
69	9	19	4	0	0	0	0	7	47	0	76	144	
70	9	20	4	1	16002	0	0	8	46	0	76	145	
71	9	21	4	0	0	0	0	8	41	0	76	146	
72	9	22	4	0	0	0	0	7	34	0	76	147	
73	9	23	4	0	0	0	0	8	32	0	76	148	
74	10	1	5	2	53300	0	0	7	32	0	76	149	
75	10	6	5	1	16001	0	0	7	43	0	76	150	
76	10	10	5	1	17001	0	132	3	34	10	104	151	
77	10	14	5	0	0	0	0	6	36	0	76	152	
78	8	17	3	0	0	0	0	5	41	0	76	153	
79	8	18	3	1	16002	0	0	2	41	0	76	154	
80	11	15	6	1	17002	0	0	4	40	0	76	155	
81	11	14	6	0	0	0	0	1	40	0	76	156	
82	9	17	4	1	17001	0	0	8	57	0	76	163	
83	9	16	4	0	0	0	0	7	57	0	76	164	
84	9	15	4	0	0	0	0	7	54	0	76	165	
85	9	14	4	1	26401	0	0	1	33	0	76	166	
86	9	13	4	0	0	0	0	8	41	0	76	167	
87	9	12	4	0	0	0	0	7	49	0	76	168	
88	10	0	5	1	17002	0	0	8	44	0	76	169	
89	8	11	3	2	55000	0	106	6	33	-6	96	170	
90	8	12	3	0	0	0	141	1	35	0	72	171	
91	8	13	3	0	0	0	0	6	25	0	76	172	
92	8	14	3	1	26402	0	0	2	30	0	76	173	
93	8	15	3	1	16001	0	0	6	31	0	76	174	
94	8	16	3	0	0	0	137	1	30	0	72	175	
95	11	13	6	0	0	1	103	4	36	23	42	176	
96	5	35	2	0	0	1	133	17	42	-2	60	183	
97	5	34	1	0	0	1	133	15	41	7	64	184	
98	5	21	2	1	21001	0	0	17	39	0	76	185	
99	8	1	1	0	0	0	0	4	35	0	76	186	
100	8	4	3	0	0	0	0	5	32	0	76	187	
101	8	5	3	0	0	0	0	2	35	0	76	188	
102	8	6	3	1	17002	0	0	38	34	0	76	189	
103	8	7	3	0	0	0	0	3	32	0	76	190	
104	8	8	3	0	0	0	0	6	24	0	76	191	
105	8	9	3	0	0	0	0	2	22	0	76	192	
106	7	12	3	1	12001	0	0	6	27	0	76	193	
107	7	11	3	0	0	0	142	4	28	-9	17	194	
108	7	10	3	1	17001	0	0	41	30	0	76	195	
109	5	41	2	0	0	1	123	14	12	21	72	202	
110	5	36	1	0	0	1	133	14	8	1	65	203	
111	5	33	2	0	0	1	133	14	6	11	72	204	
112	5	22	1	2	54000	0	0	17	40	0	76	205	
113	8	0	2	1	16002	0	141	6	38	0	72	206	
114	8	2	3	1	26402	0	0	6	39	0	76	207	
115	8	3	3	0	0	0	0	2	38	0	76	208	
116	1	0	10000	0	0	1	102	2	24	10	58	209	
117	1	1	10000	2	51000	0	0	6	21	0	76	210	
118	1	2	10000	0	0	0	137	3	29	-3	49	211	
119	8	10	3	0	0	0	0	1	29	0	76	212	
120	7	13	3	1	16001	0	0	6	27	0	76	213	
121	7	9	3	0	0	0	0	2	19	0	76	215	
122	7	8	2	1	16001	0	0	10	0	0	76	216	
123	7	7	3	1	20007	0	114	9	4	0	72	217	
124	7	6	2	0	0	0	113	9	-1	0	72	218	
125	5	40	1	0	0	1	125	13	18	0	72	222	
126	5	37	2	1	21055	0	0	13	3	0	76	223	
127	5	32	1	1	21055	0	0	13	4	0	76	224	
128	5	23	2	1	21001	0	0	17	30	0	76	225	
129	5	20	1	1	21051	0	0	17	29	0	76	226	
130	1	18	10000	2	52000	0	0	6	30	0	76	227	
131	1	17	10000	0	0	0	0	1	30	0	76	228	
132	1	3	10000	0	0	0	0	3	28	0	76	229	
133	1	4	10000	0	0	0	0	5	29	0	76	230	
134	1	5	10000	0	0	0	0	6	31	0	76	231	
135	1	19	10000	0	0	0	0	2	31	0	76	232	
136	6	9	2	2	53100	0	0	2	29	0	76	233	
137	6	11	2	3	36001	0	0	4	8	0	76	234	
138	6	13	2	0	0	0	0	3	12	0	76	235	
139	6	22	2	1	26302	0	0	1	5	0	76	236	
140	7	4	3	1	17001	0	0	4	3	0	76	237	
141	7	5	2	0	0	1	107	9	0	-17	72	238	
142	5	6	10000	0	0	0	0	12	15	0	72	241	
143	5	12	10000	0	0	1	0	14	15	0	76	242	
144	5	38	1	0	0	0	0	14	16	0	76	243	
145	5	31	2	1	21001	0	0	14	5	0	76	244	
146	5	24	1	1	16001	0	0	16	17	0	76	245	
147	5	19	2	1	17001	0	0	16	34	0	76	246	
148	1	16	10000	0	0	0	0	2	32	0	76	247	
149	1	6	10000	0	0	0	0	6	32	0	76	248	
150	1	7	10000	0	0	0	0	2	30	0	76	249	
151	1	8	10000	0	0	0	0	3	18	0	76	250	
152	1	9	10000	0	0	0	0	5	20	0	76	251	
153	1	20	10000	2	56000	0	0	2	20	0	76	252	
154	6	10	2	1	21004	0	0	4	20	0	76	253	
155	6	12	2	1	16001	0	0	6	7	0	76	254	
156	6	14	2	1	21001	0	0	4	4	0	76	255	
157	6	21	2	1	16001	0	0	4	3	0	76	256	
158	7	2	3	1	26501	0	0	38	9	0	76	257	
159	7	3	2	0	0	0	0	2	7	0	76	258	
160	5	5	10000	0	0	0	0	13	13	0	76	261	
161	5	11	10000	0	0	0	0	13	13	0	76	262	
162	5	39	1	0	0	0	0	13	14	0	72	263	
163	5	30	2	0	0	0	0	17	2	0	76	264	
164	5	25	1	1	17001	0	0	14	3	0	76	265	
165	5	18	2	2	53200	0	0	6	31	0	76	266	
166	3	4	1	1	20003	0	0	6	26	0	76	267	
167	1	10	10000	0	0	0	0	2	21	0	76	268	
168	1	11	10000	0	0	0	0	1	18	0	76	269	
169	1	14	10000	0	0	0	0	2	18	0	76	270	
170	1	12	10000	0	0	1	104	1	24	3	58	271	
171	6	15	2	1	17001	0	140	1	7	8	51	274	
172	6	16	2	1	20005	0	0	5	8	0	76	275	
173	6	20	2	1	21053	0	0	6	5	0	76	276	
174	7	0	2	1	21053	0	0	6	5	0	76	277	
175	7	1	3	1	26501	0	0	6	4	0	76	278	
176	5	4	10000	0	0	1	133	15	4	1	66	281	
177	5	10	10000	1	20001	0	0	14	13	0	76	282	
178	5	16	10000	0	0	0	0	11	11	0	76	283	
179	5	29	1	0	0	0	0	13	1	0	76	284	
180	5	26	2	0	0	1	107	14	2	14	59	285	
181	5	17	1	0	0	0	0	1	21	0	76	286	
182	3	5	1	1	14001	0	0	6	25	0	76	287	
183	1	13	10000	0	0	0	138	3	23	0	72	288	
184	1	15	10000	3	31001	0	103	6	7	-12	92	289	
185	1	23	10000	3	30001	0	0	5	8	0	76	290	
186	1	21	10000	0	0	1	0	22	8	0	76	291	
187	6	17	2	0	0	0	136	41	8	-11	69	294	
188	6	18	2	1	20006	0	139	2	7	6	53	295	
189	6	19	2	0	0	1	105	2	7	2	52	296	
190	5	3	10000	0	0	0	0	13	2	0	76	301	
191	5	9	10000	0	0	0	0	14	3	0	76	302	
192	5	15	10000	0	0	0	0	14	2	0	76	303	
193	5	28	2	0	0	0	0	12	2	0	76	304	
194	5	27	1	0	0	1	133	9	-2	4	75	305	
195	3	6	1	1	12001	0	0	41	23	0	76	307	
196	1	26	10000	2	57000	0	0	2	8	0	76	308	
197	1	25	10000	0	0	0	0	1	11	0	76	309	
198	1	24	10000	0	0	0	0	1	14	0	76	310	
199	1	22	10000	2	59000	0	0	23	3	0	76	311	
200	6	5	10000	1	26401	0	0	40	6	-28	72	314	
201	6	6	10000	1	21003	0	137	2	6	2	52	315	
202	5	8	10000	0	0	0	0	13	5	0	76	322	
203	5	14	10000	0	0	0	0	13	3	0	76	323	
204	3	7	1	1	21002	0	0	9	2	0	76	327	
