id	star	random_map_array	fail_two_random_map_array	battle_map_id	battle_data_array	psychedelic_map_id	psychedelic_data_array	random_name_id	
序号	星星区间	地图随机概率	失败两次地图随机概率	战斗地图id	战斗数据id数组，最少两个	迷幻岛id	迷幻岛数据id数组	随机名字池id	
integer	integer	string	string	integer	string	integer	string	integer	
key	""	""	""	""	""	""	""	""	
1	15	93|7	60|40	2	3|4|5|6|7|8|9|10	20	1|2|3|4	1	
2	45	93|7	60|40	3	1|2|3|4|5|6|7|8|9|10	21	5|6|7|8	2	
3	80	93|7	60|40	4	1|2|3|4|5|6|7|8|9|10	22	1|2|3|4	3	
4	150	93|7	60|40	5	1|2|3|4|5	23	5|6|7|8	4	
5	230	93|7	60|40	5	6|7|8|9|10	20	1|2|3|4|5|6|7|8	5	
6	320	93|7	60|40	6	1|2|3|4|5	21	1|2|3|4|5|6|7|8	6	
7	440	93|7	60|40	6	6|7|8|9|10	22	1|2|3|4|5|6|7|8	7	
8	560	93|7	60|40	7	1|2|3|4|5	23	1|2|3|4|5|6|7|8	8	
9	680	93|7	60|40	7	6|7|8|9|10	21	1|2|3|4|5|6|7|8	9	
10	820	93|7	60|40	8	1|2|3|4|5	22	1|2|3|4|5|6|7|8	10	
11	950	93|7	60|40	8	6|7|8|9|10	23	1|2|3|4|5|6|7|8	11	
12	1150	93|7	60|40	9	1|2|3|4	21	1|2|3|4|5|6|7|8	12	
13	1400	93|7	60|40	9	4|5|6|7	22	1|2|3|4|5|6|7|8	13	
14	1600	93|7	60|40	9	7|8|9|10	23	1|2|3|4|5|6|7|8	14	
15	1820	93|7	60|40	9	7|8|9|10	21	1|2|3|4|5|6|7|8	15	
16	2150	93|7	60|40	10	1|2|3|4	22	1|2|3|4|5|6|7|8	16	
17	2390	93|7	60|40	10	4|5|6|7	23	1|2|3|4|5|6|7|8	17	
18	2640	93|7	60|40	10	7|8|9|10	21	1|2|3|4|5|6|7|8	18	
19	2900	93|7	60|40	10	7|8|9|10	22	1|2|3|4|5|6|7|8	19	
20	3170	93|7	60|40	11	1|2|3|4	23	1|2|3|4|5|6|7|8	20	
21	3450	93|7	60|40	11	4|5|6|7	21	1|2|3|4|5|6|7|8	21	
22	3740	93|7	60|40	11	7|8|9|10	22	1|2|3|4|5|6|7|8	22	
23	4040	93|7	60|40	11	7|8|9|10	23	1|2|3|4|5|6|7|8	23	
24	4350	93|7	60|40	11	6|7|8|9|10	21	1|2|3|4|5|6|7|8	24	
25	4670	93|7	60|40	11	1|2|3|4|5|6|7|8|9|10	22	1|2|3|4|5|6|7|8	25	
26	5000	93|7	60|40	11	1|2|3|4|5|6|7|8|9|10	23	1|2|3|4|5|6|7|8	26	
27	5340	93|7	60|40	11	1|2|3|4|5|6|7|8|9|10	21	1|2|3|4|5|6|7|8	27	
28	5690	93|7	60|40	11	1|2|3|4|5|6|7|8|9|10	22	1|2|3|4|5|6|7|8	28	
