map_key	cell_id	enter	item_type	item_id	is_obstruct	skill_lv	star_lv	
地图id_数据id	格子ID	是否可上岸	道具类型	道具ID	是否障碍	技能等级	怪物星级	
string	integer	integer	integer	integer	integer	integer	integer	
key	key	""	""	""	""	""	""	
101_1	4	0	0	0	1	0	0	
101_1	5	0	0	0	1	0	0	
101_1	6	0	0	0	1	0	0	
101_1	7	0	0	0	1	0	0	
101_1	8	0	0	0	1	0	0	
101_1	14	0	0	0	1	0	0	
101_1	15	0	0	0	0	0	0	
101_1	16	0	3	50001	0	1	0	
101_1	17	0	1	24001	0	0	0	
101_1	18	0	1	24001	0	0	0	
101_1	19	0	1	24001	0	0	0	
101_1	20	0	0	0	1	0	0	
101_1	25	0	0	0	1	0	0	
101_1	26	0	3	50001	0	1	0	
101_1	27	0	0	0	0	0	0	
101_1	28	0	0	0	0	0	0	
101_1	29	0	1	24001	0	0	0	
101_1	30	0	0	0	0	0	0	
101_1	31	0	0	0	1	0	0	
101_1	35	0	0	0	1	0	0	
101_1	36	0	0	0	1	0	0	
101_1	37	0	0	0	0	0	0	
101_1	38	0	0	0	0	0	0	
101_1	39	0	0	0	1	0	0	
101_1	40	0	3	50001	0	1	0	
101_1	41	0	3	50001	0	1	0	
101_1	42	0	0	0	1	0	0	
101_1	46	0	0	0	1	0	0	
101_1	47	0	0	0	1	0	0	
101_1	48	0	0	0	0	0	0	
101_1	49	0	0	0	0	0	0	
101_1	50	0	0	0	1	0	0	
101_1	51	0	1	24001	0	0	0	
101_1	52	0	0	0	0	0	0	
101_1	53	0	0	0	1	0	0	
101_1	55	0	0	0	1	0	0	
101_1	56	1	0	0	0	0	0	
101_1	57	0	0	0	0	0	0	
101_1	58	0	0	0	0	0	0	
101_1	59	0	1	24001	0	0	0	
101_1	60	0	0	0	0	0	0	
101_1	61	0	0	0	1	0	0	
101_1	62	0	1	25001	0	0	0	
101_1	63	0	1	25001	0	0	0	
101_1	64	0	0	0	1	0	0	
101_1	66	1	0	0	0	0	0	
101_1	67	1	0	0	0	0	0	
101_1	68	0	0	0	0	0	0	
101_1	69	0	0	0	0	0	0	
101_1	70	0	0	0	0	0	0	
101_1	71	0	0	0	0	0	0	
101_1	72	0	0	0	1	0	0	
101_1	73	0	0	0	1	0	0	
101_1	74	0	0	0	0	0	0	
101_1	75	0	0	0	1	0	0	
101_1	78	1	0	0	0	0	0	
101_1	79	0	0	0	0	0	0	
101_1	80	0	0	0	0	0	0	
101_1	81	0	0	0	0	0	0	
101_1	82	0	0	0	1	0	0	
101_1	83	0	0	0	1	0	0	
101_1	84	0	0	0	0	0	0	
101_1	85	0	2	63001	0	0	0	
101_1	86	0	0	0	0	0	0	
101_1	87	0	0	0	1	0	0	
101_1	89	1	0	0	0	0	0	
101_1	90	1	0	0	0	0	0	
101_1	91	0	0	0	0	0	0	
101_1	92	0	0	0	1	0	0	
101_1	95	0	0	0	1	0	0	
101_1	96	0	0	0	0	0	0	
101_1	97	0	0	0	1	0	0	
101_1	102	0	0	0	1	0	0	
101_1	103	0	0	0	1	0	0	
102_1	0	0	0	0	1	0	0	
102_1	1	0	0	0	1	0	0	
102_1	2	1	0	0	0	0	0	
102_1	3	0	0	0	1	0	0	
102_1	6	0	0	0	1	0	0	
102_1	8	0	0	0	1	0	0	
102_1	10	0	0	0	1	0	0	
102_1	11	0	0	0	0	0	0	
102_1	12	0	0	0	0	0	0	
102_1	13	1	0	0	0	0	0	
102_1	15	0	0	0	0	0	0	
102_1	16	0	0	0	0	0	0	
102_1	17	0	0	0	0	0	0	
102_1	19	0	0	0	1	0	0	
102_1	20	0	0	0	1	0	0	
102_1	21	0	0	0	0	0	0	
102_1	22	0	1	24001	0	0	0	
102_1	23	0	0	0	1	0	0	
102_1	24	0	0	0	1	0	0	
102_1	28	0	0	0	1	0	0	
102_1	29	0	0	0	1	0	0	
102_1	30	0	0	0	1	0	0	
102_1	31	0	0	0	0	0	0	
102_1	32	0	0	0	0	0	0	
102_1	33	0	1	24001	0	0	0	
102_1	34	0	0	0	0	0	0	
102_1	35	0	0	0	0	0	0	
102_1	36	0	0	0	1	0	0	
102_1	37	0	0	0	1	0	0	
102_1	41	0	0	0	0	0	0	
102_1	42	0	0	0	0	0	0	
102_1	43	0	1	24001	0	0	0	
102_1	44	0	3	50001	0	1	0	
102_1	45	0	1	24001	0	0	0	
102_1	46	0	3	35001	0	1	0	
102_1	47	0	0	0	0	0	0	
102_1	48	0	0	0	1	0	0	
102_1	49	0	0	0	1	0	0	
102_1	50	0	0	0	1	0	0	
102_1	51	0	0	0	1	0	0	
102_1	53	0	0	0	1	0	0	
102_1	54	0	0	0	0	0	0	
102_1	55	0	3	35002	0	0	0	
102_1	56	0	1	24001	0	0	0	
102_1	57	0	1	24001	0	0	0	
102_1	58	0	0	0	1	0	0	
102_1	60	0	0	0	1	0	0	
102_1	62	0	0	0	1	0	0	
102_1	64	0	0	0	1	0	0	
102_1	65	0	0	0	1	0	0	
102_1	66	0	0	0	0	0	0	
102_1	67	0	3	50001	0	1	0	
102_1	68	0	0	0	1	0	0	
102_1	70	0	0	0	1	0	0	
102_1	71	0	0	0	1	0	0	
102_1	73	0	0	0	1	0	0	
102_1	74	0	0	0	0	0	0	
102_1	75	0	0	0	1	0	0	
102_1	76	0	1	25001	0	1	0	
102_1	77	0	1	24001	0	0	0	
102_1	78	0	0	0	0	0	0	
102_1	81	0	0	0	1	0	0	
102_1	83	0	0	0	1	0	0	
102_1	84	0	2	63001	0	0	0	
102_1	85	0	0	0	0	0	0	
102_1	86	0	1	25002	0	0	0	
102_1	87	0	1	24001	0	0	0	
102_1	88	0	0	0	1	0	0	
102_1	90	0	0	0	1	0	0	
102_1	91	0	0	0	1	0	0	
102_1	93	0	0	0	1	0	0	
102_1	94	0	0	0	0	0	0	
102_1	95	0	0	0	1	0	0	
102_1	96	0	0	0	0	0	0	
102_1	97	0	0	0	1	0	0	
102_1	98	0	0	0	1	0	0	
102_1	100	0	0	0	1	0	0	
102_1	101	0	0	0	1	0	0	
102_1	104	0	0	0	1	0	0	
103_1	0	0	0	0	1	0	0	
103_1	1	0	0	0	1	0	0	
103_1	2	0	0	0	1	0	0	
103_1	3	0	0	0	1	0	0	
103_1	4	0	0	0	1	0	0	
103_1	11	0	0	0	1	0	0	
103_1	12	0	0	0	1	0	0	
103_1	13	0	0	0	1	0	0	
103_1	14	0	0	0	1	0	0	
103_1	15	0	0	0	1	0	0	
103_1	22	0	0	0	1	0	0	
103_1	23	0	0	0	1	0	0	
103_1	24	0	0	0	1	0	0	
103_1	25	0	0	0	1	0	0	
103_1	26	0	0	0	1	0	0	
103_1	28	0	0	0	1	0	0	
103_1	29	0	0	0	1	0	0	
103_1	30	0	0	0	1	0	0	
103_1	31	0	0	0	1	0	0	
103_1	32	0	0	0	1	0	0	
103_1	33	0	0	0	1	0	0	
103_1	34	0	0	0	1	0	0	
103_1	35	0	0	0	1	0	0	
103_1	36	0	0	0	1	0	0	
103_1	37	0	0	0	1	0	0	
103_1	39	0	0	0	1	0	0	
103_1	40	0	0	0	0	0	0	
103_1	41	0	2	63001	0	0	0	
103_1	42	0	0	0	0	0	0	
103_1	43	0	0	0	1	0	0	
103_1	50	0	0	0	1	0	0	
103_1	51	0	0	0	0	0	0	
103_1	52	0	0	0	0	0	0	
103_1	53	0	0	0	0	0	0	
103_1	54	0	0	0	1	0	0	
103_1	55	0	0	0	1	0	0	
103_1	56	0	0	0	1	0	0	
103_1	57	0	0	0	1	0	0	
103_1	58	0	0	0	1	0	0	
103_1	59	0	0	0	1	0	0	
103_1	60	0	0	0	1	0	0	
103_1	61	0	0	0	1	0	0	
103_1	62	0	1	25002	0	0	0	
103_1	63	0	1	25002	0	0	0	
103_1	64	0	0	0	1	0	0	
103_1	66	1	0	0	0	0	0	
103_1	67	0	0	0	0	0	0	
103_1	68	0	0	0	0	0	0	
103_1	69	0	1	24001	0	0	0	
103_1	70	0	0	0	0	0	0	
103_1	71	0	0	0	0	0	0	
103_1	72	0	1	24001	0	0	0	
103_1	73	0	3	35002	0	1	0	
103_1	74	0	3	50001	0	1	0	
103_1	75	0	0	0	0	0	0	
103_1	77	1	0	0	0	0	0	
103_1	78	0	0	0	0	0	0	
103_1	79	0	0	0	0	0	0	
103_1	80	0	3	50001	0	1	0	
103_1	81	0	0	0	1	0	0	
103_1	82	0	1	24001	0	0	0	
103_1	83	0	0	0	1	0	0	
103_1	84	0	1	24001	0	0	0	
103_1	85	0	1	24001	0	0	0	
103_1	86	0	0	0	1	0	0	
103_1	88	1	0	0	0	0	0	
103_1	89	0	0	0	0	0	0	
103_1	90	0	0	0	0	0	0	
103_1	91	0	1	24001	0	0	0	
103_1	92	0	0	0	0	0	0	
103_1	93	0	3	35001	0	1	0	
103_1	94	0	0	0	0	0	0	
103_1	95	0	0	0	0	0	0	
103_1	96	0	0	0	0	0	0	
103_1	97	0	0	0	1	0	0	
103_1	99	0	0	0	1	0	0	
103_1	100	0	0	0	1	0	0	
103_1	101	0	0	0	1	0	0	
103_1	102	0	0	0	1	0	0	
103_1	103	0	0	0	1	0	0	
103_1	104	0	0	0	1	0	0	
103_1	105	0	0	0	1	0	0	
103_1	106	0	0	0	1	0	0	
103_1	107	0	0	0	1	0	0	
104_1	6	0	0	0	1	0	0	
104_1	9	0	0	0	1	0	0	
104_1	10	0	0	0	1	0	0	
104_1	16	0	0	0	1	0	0	
104_1	17	0	0	0	1	0	0	
104_1	18	0	0	0	1	0	0	
104_1	20	0	0	0	1	0	0	
104_1	21	0	0	0	1	0	0	
104_1	26	0	0	0	0	0	0	
104_1	27	0	0	0	0	0	0	
104_1	28	0	1	24001	0	0	0	
104_1	29	0	0	0	0	0	0	
104_1	30	0	0	0	0	0	0	
104_1	36	0	0	0	0	0	0	
104_1	37	0	0	0	0	0	0	
104_1	38	0	0	0	0	0	0	
104_1	39	0	0	0	0	0	0	
104_1	40	0	0	0	0	0	0	
104_1	41	0	1	24001	0	0	0	
104_1	42	0	0	0	1	0	0	
104_1	44	0	0	0	1	0	0	
104_1	45	0	0	0	1	0	0	
104_1	46	1	0	0	0	0	0	
104_1	47	0	3	50001	0	1	0	
104_1	48	0	3	35002	0	1	0	
104_1	49	0	0	0	1	0	0	
104_1	50	0	0	0	1	0	0	
104_1	51	0	0	0	1	0	0	
104_1	52	0	3	35003	0	1	0	
104_1	53	0	0	0	0	0	0	
104_1	54	0	2	63001	0	0	0	
104_1	55	0	0	0	1	0	0	
104_1	56	0	0	0	1	0	0	
104_1	57	1	0	0	0	0	0	
104_1	58	0	3	50001	0	1	0	
