map_key	cell_id	enter	item_type	item_id	is_obstruct	skill_lv	star_lv	
地图id_数据id	格子ID	是否可上岸	道具类型	道具ID	是否障碍	技能等级	怪物星级	
string	integer	integer	integer	integer	integer	integer	integer	
key	key	""	""	""	""	""	""	
2_1	2	0	0	0	1	0	0	
2_1	3	0	2	51001	0	0	0	
2_1	4	0	0	0	0	0	0	
2_1	6	0	0	0	0	0	0	
2_1	7	0	0	0	0	0	0	
2_1	8	0	0	0	0	0	0	
2_1	9	0	0	0	0	0	0	
2_1	10	0	0	0	0	0	0	
2_1	11	0	0	0	0	0	0	
2_1	12	0	0	0	0	0	0	
2_1	13	0	0	0	0	0	0	
2_1	14	0	1	12001	0	0	0	
2_1	15	0	1	16003	0	0	0	
2_1	16	0	0	0	0	0	0	
2_1	17	0	0	0	0	0	0	
2_1	19	0	2	53001	0	0	0	
2_1	20	0	1	17001	0	0	0	
2_1	21	0	0	0	0	0	0	
2_1	22	0	0	0	1	0	0	
2_1	25	0	0	0	0	0	0	
2_1	26	0	0	0	0	0	0	
2_1	27	0	1	17001	0	0	0	
2_1	28	0	0	0	1	0	0	
2_1	31	0	0	0	0	0	0	
2_1	32	0	3	31001	0	0	0	
2_1	33	0	1	17001	0	0	0	
2_1	34	0	2	59001	0	0	0	
2_1	37	0	0	0	0	0	0	
2_1	38	1	1	16003	0	0	0	
2_1	39	1	1	17002	0	0	0	
2_2	2	0	0	0	1	0	0	
2_2	3	0	0	0	0	0	0	
2_2	4	0	0	0	0	0	0	
2_2	6	0	0	0	0	0	0	
2_2	7	0	2	51001	0	0	0	
2_2	8	0	0	0	0	0	0	
2_2	9	0	0	0	0	0	0	
2_2	10	0	0	0	0	0	0	
2_2	11	0	0	0	0	0	0	
2_2	12	0	0	0	0	0	0	
2_2	13	0	1	17002	0	0	0	
2_2	14	0	1	17001	0	0	0	
2_2	15	0	1	17001	0	0	0	
2_2	16	0	0	0	0	0	0	
2_2	17	0	0	0	0	0	0	
2_2	19	0	0	0	0	0	0	
2_2	20	0	2	53001	0	0	0	
2_2	21	0	1	16002	0	0	0	
2_2	22	0	0	0	1	0	0	
2_2	25	0	0	0	0	0	0	
2_2	26	0	3	31001	0	0	0	
2_2	27	0	0	0	0	0	0	
2_2	28	0	0	0	1	0	0	
2_2	31	1	0	0	0	0	0	
2_2	32	0	1	16002	0	0	0	
2_2	33	0	1	16003	0	0	0	
2_2	34	0	2	59001	0	0	0	
2_2	37	1	1	16002	0	0	0	
2_2	38	1	0	0	0	0	0	
2_2	39	1	0	0	0	0	0	
2_3	2	0	0	0	1	0	0	
2_3	3	0	0	0	0	0	0	
2_3	4	0	0	0	0	0	0	
2_3	6	0	0	0	0	0	0	
2_3	7	0	0	0	0	0	0	
2_3	8	0	0	0	0	0	0	
2_3	9	0	0	0	0	0	0	
2_3	10	0	0	0	0	0	0	
2_3	11	0	0	0	0	0	0	
2_3	12	0	2	51001	0	0	0	
2_3	13	0	3	31002	0	0	0	
2_3	14	0	1	16002	0	0	0	
2_3	15	0	0	0	0	0	0	
2_3	16	0	0	0	0	0	0	
2_3	17	0	0	0	0	0	0	
2_3	19	0	1	16001	0	0	0	
2_3	20	0	2	53001	0	0	0	
2_3	21	0	3	32001	0	0	0	
2_3	22	0	0	0	1	0	0	
2_3	25	0	1	17002	0	0	0	
2_3	26	0	1	16002	0	0	0	
2_3	27	0	1	18002	0	0	0	
2_3	28	0	0	0	1	0	0	
2_3	31	1	1	16002	0	0	0	
2_3	32	0	1	17001	0	0	0	
2_3	33	0	0	0	0	0	0	
2_3	34	0	2	59001	0	0	0	
2_3	37	1	0	0	0	0	0	
2_3	38	1	0	0	0	0	0	
2_3	39	1	0	0	0	0	0	
2_4	2	0	0	0	1	0	0	
2_4	3	1	0	0	0	0	0	
2_4	4	0	0	0	0	0	0	
2_4	6	0	0	0	0	0	0	
2_4	7	0	0	0	0	0	0	
2_4	8	0	0	0	0	0	0	
2_4	9	0	1	16003	0	0	0	
2_4	10	0	0	0	0	0	0	
2_4	11	0	0	0	0	0	0	
2_4	12	0	1	16001	0	0	0	
2_4	13	0	0	0	0	0	0	
2_4	14	0	3	31002	0	0	0	
2_4	15	0	0	0	0	0	0	
2_4	16	0	1	17001	0	0	0	
2_4	17	0	0	0	0	0	0	
2_4	19	0	0	0	0	0	0	
2_4	20	0	2	51001	0	0	0	
2_4	21	0	2	53001	0	0	0	
2_4	22	0	0	0	1	0	0	
2_4	25	1	1	16001	0	0	0	
2_4	26	0	0	0	0	0	0	
2_4	27	0	1	16002	0	0	0	
2_4	28	0	0	0	1	0	0	
2_4	31	1	3	31001	0	0	0	
2_4	32	0	0	0	0	0	0	
2_4	33	0	1	17003	0	0	0	
2_4	34	0	2	59001	0	0	0	
2_4	37	1	0	0	0	0	0	
2_4	38	1	1	17001	0	0	0	
2_4	39	1	0	0	0	0	0	
2_5	2	0	0	0	1	0	0	
2_5	3	0	0	0	0	0	0	
2_5	4	0	0	0	0	0	0	
2_5	6	1	0	0	0	0	0	
2_5	7	0	0	0	0	0	0	
2_5	8	0	2	51001	0	0	0	
2_5	9	0	1	18002	0	0	0	
2_5	10	0	0	0	0	0	0	
2_5	11	1	0	0	0	0	0	
2_5	12	1	0	0	0	0	0	
2_5	13	0	1	16002	0	0	0	
2_5	14	0	0	0	0	0	0	
2_5	15	0	3	32001	0	0	0	
2_5	16	0	3	32001	0	0	0	
2_5	17	1	0	0	0	0	0	
2_5	19	0	1	16002	0	0	0	
2_5	20	0	0	0	0	0	0	
2_5	21	0	1	18002	0	0	0	
2_5	22	0	0	0	1	0	0	
2_5	25	0	2	53001	0	0	0	
2_5	26	0	0	0	0	0	0	
2_5	27	0	1	17003	0	0	0	
2_5	28	0	0	0	1	0	0	
2_5	31	1	0	0	0	0	0	
2_5	32	0	3	31001	0	0	0	
2_5	33	0	1	16003	0	0	0	
2_5	34	0	2	59001	0	0	0	
2_5	37	1	0	0	0	0	0	
2_5	38	1	0	0	0	0	0	
2_5	39	1	0	0	0	0	0	
2_6	2	0	0	0	1	0	0	
2_6	3	0	2	51001	0	0	0	
2_6	4	0	0	0	0	0	0	
2_6	6	1	0	0	0	0	0	
2_6	7	0	0	0	0	0	0	
2_6	8	0	3	32002	0	0	0	
2_6	9	0	3	31002	0	0	0	
2_6	10	0	0	0	0	0	0	
2_6	11	1	0	0	0	0	0	
2_6	12	1	0	0	0	0	0	
2_6	13	0	1	16002	0	0	0	
2_6	14	0	0	0	0	0	0	
2_6	15	0	2	53001	0	0	0	
2_6	16	0	1	16003	0	0	0	
2_6	17	1	0	0	0	0	0	
2_6	19	0	1	17003	0	0	0	
2_6	20	0	0	0	0	0	0	
2_6	21	0	1	16002	0	0	0	
2_6	22	0	0	0	1	0	0	
2_6	25	1	1	18001	0	0	0	
2_6	26	0	0	0	0	0	0	
2_6	27	0	1	17001	0	0	0	
2_6	28	0	0	0	1	0	0	
2_6	31	1	0	0	0	0	0	
2_6	32	0	0	0	0	0	0	
2_6	33	0	0	0	0	0	0	
2_6	34	0	2	59001	0	0	0	
2_6	37	1	0	0	0	0	0	
2_6	38	1	0	0	0	0	0	
2_6	39	1	0	0	0	0	0	
2_7	2	0	0	0	1	0	0	
2_7	3	0	1	16002	0	0	0	
2_7	4	0	0	0	0	0	0	
2_7	6	0	1	18001	0	0	0	
2_7	7	0	0	0	0	0	0	
2_7	8	0	0	0	0	0	0	
2_7	9	0	0	0	0	0	0	
2_7	10	0	0	0	0	0	0	
2_7	11	1	0	0	0	0	0	
2_7	12	0	2	53001	0	0	0	
2_7	13	0	0	0	0	0	0	
2_7	14	0	3	32001	0	0	0	
2_7	15	0	3	31002	0	0	0	
2_7	16	0	0	0	0	0	0	
2_7	17	1	1	16003	0	0	0	
2_7	19	0	0	0	0	0	0	
2_7	20	0	1	16002	0	0	0	
2_7	21	0	1	17001	0	0	0	
2_7	22	0	0	0	1	0	0	
2_7	25	1	0	0	0	0	0	
2_7	26	0	2	51001	0	0	0	
2_7	27	0	0	0	0	0	0	
2_7	28	0	0	0	1	0	0	
2_7	31	1	0	0	0	0	0	
2_7	32	0	0	0	0	0	0	
2_7	33	0	1	17003	0	0	0	
2_7	34	0	2	59001	0	0	0	
2_7	37	1	0	0	0	0	0	
2_7	38	1	0	0	0	0	0	
2_7	39	1	0	0	0	0	0	
2_8	2	0	0	0	1	0	0	
2_8	3	1	0	0	0	0	0	
2_8	4	0	0	0	0	0	0	
2_8	6	0	1	18001	0	0	0	
2_8	7	0	0	0	0	0	0	
2_8	8	0	1	17003	0	0	0	
2_8	9	0	3	31001	0	0	0	
2_8	10	0	3	31003	0	0	0	
2_8	11	0	0	0	0	0	0	
2_8	12	1	0	0	0	0	0	
2_8	13	0	1	16002	0	0	0	
2_8	14	0	2	53001	0	0	0	
2_8	15	0	0	0	0	0	0	
2_8	16	0	0	0	0	0	0	
2_8	17	0	2	51001	0	0	0	
2_8	19	0	0	0	0	0	0	
2_8	20	0	0	0	0	0	0	
2_8	21	0	1	17001	0	0	0	
2_8	22	0	0	0	1	0	0	
2_8	25	1	0	0	0	0	0	
2_8	26	0	1	16002	0	0	0	
2_8	27	0	0	0	0	0	0	
2_8	28	0	0	0	1	0	0	
2_8	31	1	1	16002	0	0	0	
2_8	32	0	0	0	0	0	0	
2_8	33	0	0	0	0	0	0	
2_8	34	0	2	59001	0	0	0	
2_8	37	1	0	0	0	0	0	
2_8	38	1	0	0	0	0	0	
2_8	39	1	0	0	0	0	0	
2_9	2	0	0	0	1	0	0	
2_9	3	1	0	0	0	0	0	
2_9	4	0	0	0	0	0	0	
2_9	6	1	0	0	0	0	0	
2_9	7	0	0	0	0	0	0	
2_9	8	0	1	18001	0	0	0	
2_9	9	0	1	18002	0	0	0	
2_9	10	0	0	0	0	0	0	
2_9	11	1	0	0	0	0	0	
2_9	12	1	0	0	0	0	0	
2_9	13	0	0	0	0	0	0	
2_9	14	0	1	16002	0	0	0	
2_9	15	0	1	17002	0	0	0	
2_9	16	0	0	0	0	0	0	
2_9	17	1	0	0	0	0	0	
2_9	19	0	1	16002	0	0	0	
2_9	20	0	1	16002	0	0	0	
2_9	21	0	1	17002	0	0	0	
2_9	22	0	0	0	1	0	0	
2_9	25	1	0	0	0	0	0	
2_9	26	0	2	53001	0	0	0	
2_9	27	0	2	51001	0	0	0	
2_9	28	0	0	0	1	0	0	
2_9	31	1	0	0	0	0	0	
2_9	32	0	3	32002	0	0	0	
2_9	33	0	3	32001	0	0	0	
2_9	34	0	2	59001	0	0	0	
2_9	37	1	0	0	0	0	0	
2_9	38	1	0	0	0	0	0	
