id	prop	section_a	section_b	weight	""	""	
池子	道具id	数量区间A	数量区间B	概率	""	""	
integer	integer	integer	integer	integer	""	""	
key	key	""	""	""	""	""	
1000	101	1	1	6000	""	""	
1000	102	1	1	800	""	""	
1000	103	1	1	1700	""	""	
1000	104	1	1	1500	""	""	
101	16001	1	1	5800	""	""	
101	17001	1	1	4200	""	""	
102	12001	1	1	5000	""	""	
102	14001	1	1	5000	""	""	
103	30001	1	1	10000	""	""	
104	18001	1	1	10000	""	""	
1001	111	1	1	6000	""	""	
1001	112	1	1	600	""	""	
1001	113	1	1	1700	""	""	
1001	114	1	1	1700	""	""	
111	16001	1	1	3500	""	""	
111	16002	1	1	1300	""	""	
111	16003	1	1	600	""	""	
111	17001	1	1	2900	""	""	
111	17002	1	1	1200	""	""	
111	17003	1	1	500	""	""	
112	14001	1	1	5000	""	""	
112	13001	1	1	5000	""	""	
113	30001	1	1	10000	""	""	
114	18001	1	1	5000	""	""	
114	18002	1	1	5000	""	""	
1002	121	1	1	6000	""	""	
1002	122	1	1	600	""	""	
1002	123	1	1	1600	""	""	
1002	124	1	1	1800	""	""	
121	16001	1	1	3500	""	""	
121	16002	1	1	1300	""	""	
121	16003	1	1	600	""	""	
121	17001	1	1	2900	""	""	
121	17002	1	1	1200	""	""	
121	17003	1	1	500	""	""	
122	14001	1	1	5000	""	""	
122	13001	1	1	5000	""	""	
123	30001	1	1	10000	""	""	
124	18001	1	1	5000	""	""	
124	18002	1	1	5000	""	""	
1003	131	1	1	6000	""	""	
1003	132	1	1	400	""	""	
1003	133	1	1	1700	""	""	
1003	134	1	1	1900	""	""	
131	16001	1	1	3700	""	""	
131	16002	1	1	1300	""	""	
131	16003	1	1	600	""	""	
131	17001	1	1	2800	""	""	
131	17002	1	1	1000	""	""	
131	17003	1	1	600	""	""	
132	15001	1	1	3000	""	""	
132	14001	1	1	3000	""	""	
132	13001	1	1	4000	""	""	
133	30001	1	1	10000	""	""	
134	18001	1	1	3000	""	""	
134	18002	1	1	3500	""	""	
134	18003	1	1	3500	""	""	
1004	141	1	1	6000	""	""	
1004	142	1	1	1750	""	""	
1004	143	1	1	1950	""	""	
1004	144	1	1	300	""	""	
141	16001	1	1	3610	""	""	
141	16002	1	1	1478	""	""	
141	16003	1	1	672	""	""	
141	17001	1	1	2740	""	""	
141	17002	1	1	1080	""	""	
141	17003	1	1	420	""	""	
142	30001	1	1	10000	""	""	
143	18001	1	1	2240	""	""	
143	18002	1	1	2480	""	""	
143	18003	1	1	2240	""	""	
143	18004	1	1	1200	""	""	
143	18006	1	1	1840	""	""	
144	21001	1	1	10000	""	""	
1005	151	1	1	6000	""	""	
1005	152	1	1	1750	""	""	
1005	153	1	1	1950	""	""	
1005	154	1	1	300	""	""	
151	16001	1	1	3610	""	""	
151	16002	1	1	1478	""	""	
151	16003	1	1	672	""	""	
151	17001	1	1	2740	""	""	
151	17002	1	1	1080	""	""	
151	17003	1	1	420	""	""	
152	30001	1	1	10000	""	""	
153	18001	1	1	2285	""	""	
153	18002	1	1	2530	""	""	
153	18003	1	1	2285	""	""	
153	18004	1	1	1225	""	""	
153	18006	1	1	1675	""	""	
154	21001	1	1	10000	""	""	
1006	161	1	1	6000	""	""	
1006	162	1	1	1700	""	""	
1006	163	1	1	1900	""	""	
1006	164	1	1	400	""	""	
161	16001	1	1	2600	""	""	
161	16002	1	1	1478	""	""	
161	16003	1	1	1066	""	""	
161	16004	1	1	556	""	""	
161	17001	1	1	2200	""	""	
161	17002	1	1	1070	""	""	
161	17003	1	1	640	""	""	
161	17004	1	1	390	""	""	
162	30001	1	1	10000	""	""	
163	18001	1	1	1900	""	""	
163	18002	1	1	1900	""	""	
163	18003	1	1	1900	""	""	
163	18004	1	1	1000	""	""	
163	18005	1	1	1650	""	""	
163	18006	1	1	1650	""	""	
164	21001	1	1	5000	""	""	
164	20001	1	1	5000	""	""	
1007	171	1	1	6000	""	""	
1007	172	1	1	1700	""	""	
1007	173	1	1	1900	""	""	
1007	174	1	1	400	""	""	
171	16001	1	1	2800	""	""	
171	16002	1	1	1378	""	""	
171	16003	1	1	966	""	""	
171	16004	1	1	556	""	""	
171	17001	1	1	2040	""	""	
171	17002	1	1	1080	""	""	
171	17003	1	1	690	""	""	
171	17004	1	1	490	""	""	
172	30001	1	1	10000	""	""	
173	18001	1	1	2000	""	""	
173	18002	1	1	2000	""	""	
173	18003	1	1	2000	""	""	
173	18004	1	1	1000	""	""	
173	18005	1	1	1490	""	""	
173	18006	1	1	1510	""	""	
174	21001	1	1	5000	""	""	
174	20001	1	1	5000	""	""	
1008	181	1	1	6000	""	""	
1008	182	1	1	1600	""	""	
1008	183	1	1	1800	""	""	
1008	184	1	1	600	""	""	
181	16001	1	1	2900	""	""	
181	16002	1	1	1246	""	""	
181	16003	1	1	910	""	""	
181	16004	1	1	644	""	""	
181	17001	1	1	2040	""	""	
181	17002	1	1	1270	""	""	
181	17003	1	1	600	""	""	
181	17004	1	1	390	""	""	
182	30001	1	1	10000	""	""	
183	18001	1	1	2000	""	""	
183	18002	1	1	2000	""	""	
183	18003	1	1	2000	""	""	
183	18004	1	1	1000	""	""	
183	18005	1	1	1420	""	""	
183	18006	1	1	1580	""	""	
184	19001	1	1	3400	""	""	
184	20001	1	1	3300	""	""	
184	21001	1	1	3300	""	""	
1009	191	1	1	6000	""	""	
1009	192	1	1	1600	""	""	
1009	193	1	1	1800	""	""	
1009	194	1	1	600	""	""	
191	16001	1	1	2900	""	""	
191	16002	1	1	1246	""	""	
191	16003	1	1	910	""	""	
191	16004	1	1	644	""	""	
191	17001	1	1	2240	""	""	
191	17002	1	1	1070	""	""	
191	17003	1	1	600	""	""	
191	17004	1	1	390	""	""	
192	30001	1	1	10000	""	""	
193	18001	1	1	2000	""	""	
193	18002	1	1	2000	""	""	
193	18003	1	1	2000	""	""	
193	18004	1	1	960	""	""	
193	18005	1	1	1520	""	""	
193	18006	1	1	1520	""	""	
194	19001	1	1	3400	""	""	
194	20001	1	1	3300	""	""	
194	21001	1	1	3300	""	""	
1010	201	1	1	6000	""	""	
1010	202	1	1	1550	""	""	
1010	203	1	1	1750	""	""	
1010	204	1	1	700	""	""	
201	16001	1	1	2900	""	""	
201	16002	1	1	1312	""	""	
201	16003	1	1	914	""	""	
201	16004	1	1	574	""	""	
201	17001	1	1	2040	""	""	
201	17002	1	1	1100	""	""	
201	17003	1	1	700	""	""	
201	17004	1	1	460	""	""	
202	30001	1	1	10000	""	""	
203	18001	1	1	2045	""	""	
203	18002	1	1	2045	""	""	
203	18003	1	1	2090	""	""	
203	18004	1	1	975	""	""	
203	18005	1	1	1335	""	""	
203	18006	1	1	1510	""	""	
204	19001	1	1	2500	""	""	
204	20001	1	1	2500	""	""	
204	21001	1	1	2500	""	""	
204	21051	1	1	2500	""	""	
1011	211	1	1	6000	""	""	
1011	212	1	1	1550	""	""	
1011	213	1	1	1750	""	""	
1011	214	1	1	700	""	""	
211	16001	1	1	2900	""	""	
211	16002	1	1	1312	""	""	
211	16003	1	1	914	""	""	
211	16004	1	1	574	""	""	
211	17001	1	1	2040	""	""	
211	17002	1	1	1100	""	""	
211	17003	1	1	700	""	""	
211	17004	1	1	460	""	""	
212	30001	1	1	10000	""	""	
213	18001	1	1	2045	""	""	
213	18002	1	1	2045	""	""	
213	18003	1	1	2090	""	""	
213	18004	1	1	980	""	""	
213	18005	1	1	1420	""	""	
213	18006	1	1	1420	""	""	
214	19001	1	1	2500	""	""	
214	20001	1	1	2500	""	""	
214	21001	1	1	2500	""	""	
214	21051	1	1	2500	""	""	
1012	221	1	1	6000	""	""	
1012	222	1	1	1550	""	""	
1012	223	1	1	1750	""	""	
1012	224	1	1	700	""	""	
221	16001	1	1	2900	""	""	
221	16002	1	1	1318	""	""	
221	16003	1	1	938	""	""	
221	16004	1	1	584	""	""	
221	17001	1	1	2004	""	""	
221	17002	1	1	1102	""	""	
221	17003	1	1	700	""	""	
221	17004	1	1	454	""	""	
222	30001	1	1	10000	""	""	
223	18001	1	1	1733	""	""	
223	18002	1	1	1733	""	""	
223	18003	1	1	1733	""	""	
223	18004	1	1	934	""	""	
223	18005	1	1	1466	""	""	
223	18006	1	1	1466	""	""	
223	18007	1	1	935	""	""	
224	19001	1	1	2500	""	""	
224	20001	1	1	2500	""	""	
224	21001	1	1	2500	""	""	
224	21051	1	1	2500	""	""	
1013	231	1	1	6000	""	""	
1013	232	1	1	1550	""	""	
1013	233	1	1	1750	""	""	
1013	234	1	1	700	""	""	
231	16001	1	1	2900	""	""	
231	16002	1	1	1318	""	""	
231	16003	1	1	938	""	""	
231	16004	1	1	584	""	""	
231	17001	1	1	2004	""	""	
231	17002	1	1	1102	""	""	
231	17003	1	1	700	""	""	
231	17004	1	1	454	""	""	
232	30001	1	1	10000	""	""	
233	18001	1	1	1733	""	""	
233	18002	1	1	1733	""	""	
233	18003	1	1	1733	""	""	
233	18004	1	1	934	""	""	
233	18005	1	1	1466	""	""	
233	18006	1	1	1466	""	""	
233	18007	1	1	935	""	""	
234	19001	1	1	2500	""	""	
234	20001	1	1	2500	""	""	
234	21001	1	1	2500	""	""	
234	21051	1	1	2500	""	""	
1014	241	1	1	6000	""	""	
1014	242	1	1	1600	""	""	
1014	243	1	1	1800	""	""	
1014	244	1	1	600	""	""	
241	16001	1	1	2800	""	""	
241	16002	1	1	1218	""	""	
241	16003	1	1	966	""	""	
241	16004	1	1	616	""	""	
241	17001	1	1	2060	""	""	
241	17002	1	1	1130	""	""	
241	17003	1	1	740	""	""	
241	17004	1	1	470	""	""	
242	30001	1	1	10000	""	""	
243	18001	1	1	1810	""	""	
243	18002	1	1	1724	""	""	
243	18003	1	1	1724	""	""	
243	18004	1	1	1078	""	""	
243	18005	1	1	1293	""	""	
243	18006	1	1	1293	""	""	
243	18007	1	1	1078	""	""	
244	19001	1	1	2500	""	""	
244	20001	1	1	2500	""	""	
244	21001	1	1	2500	""	""	
244	21051	1	1	2500	""	""	
1015	251	1	1	6000	""	""	
1015	252	1	1	1600	""	""	
1015	253	1	1	1800	""	""	
1015	254	1	1	600	""	""	
251	16001	1	1	2800	""	""	
251	16002	1	1	1218	""	""	
251	16003	1	1	966	""	""	
251	16004	1	1	616	""	""	
251	17001	1	1	2060	""	""	
251	17002	1	1	1130	""	""	
251	17003	1	1	740	""	""	
251	17004	1	1	470	""	""	
252	30001	1	1	10000	""	""	
253	18001	1	1	1810	""	""	
253	18002	1	1	1725	""	""	
253	18003	1	1	1725	""	""	
253	18004	1	1	1078	""	""	
253	18005	1	1	1293	""	""	
253	18006	1	1	1293	""	""	
253	18007	1	1	1076	""	""	
254	19001	1	1	2500	""	""	
254	20001	1	1	2500	""	""	
254	21001	1	1	2500	""	""	
254	21051	1	1	2500	""	""	
1016	261	1	1	6000	""	""	
1016	262	1	1	1600	""	""	
1016	263	1	1	1800	""	""	
1016	264	1	1	600	""	""	
261	16001	1	1	2800	""	""	
261	16002	1	1	1226	""	""	
261	16003	1	1	910	""	""	
261	16004	1	1	624	""	""	
261	17001	1	1	2100	""	""	
261	17002	1	1	1048	""	""	
261	17003	1	1	796	""	""	
261	17004	1	1	496	""	""	
262	30001	1	1	10000	""	""	
263	18001	1	1	1810	""	""	
263	18002	1	1	1724	""	""	
263	18003	1	1	1724	""	""	
263	18004	1	1	1077	""	""	
263	18005	1	1	1294	""	""	
263	18006	1	1	1294	""	""	
263	18007	1	1	1077	""	""	
264	19001	1	1	2500	""	""	
264	20001	1	1	2500	""	""	
264	21001	1	1	2500	""	""	
264	21051	1	1	2500	""	""	
1017	271	1	1	6000	""	""	
1017	272	1	1	1600	""	""	
1017	273	1	1	1800	""	""	
1017	274	1	1	600	""	""	
271	16001	1	1	2800	""	""	
271	16002	1	1	1226	""	""	
271	16003	1	1	910	""	""	
271	16004	1	1	624	""	""	
271	17001	1	1	2100	""	""	
271	17002	1	1	1048	""	""	
271	17003	1	1	796	""	""	
271	17004	1	1	496	""	""	
272	30001	1	1	10000	""	""	
273	18001	1	1	1810	""	""	
273	18002	1	1	1724	""	""	
273	18003	1	1	1724	""	""	
273	18004	1	1	1077	""	""	
273	18005	1	1	1294	""	""	
273	18006	1	1	1294	""	""	
273	18007	1	1	1077	""	""	
274	19001	1	1	2500	""	""	
274	20001	1	1	2500	""	""	
274	21001	1	1	2500	""	""	
274	21051	1	1	2500	""	""	
1018	281	1	1	6000	""	""	
1018	282	1	1	1600	""	""	
1018	283	1	1	1800	""	""	
1018	284	1	1	600	""	""	
281	16001	1	1	2800	""	""	
281	16002	1	1	1226	""	""	
281	16003	1	1	910	""	""	
281	16004	1	1	624	""	""	
281	17001	1	1	2100	""	""	
281	17002	1	1	1048	""	""	
281	17003	1	1	796	""	""	
281	17004	1	1	496	""	""	
282	30001	1	1	10000	""	""	
283	18001	1	1	1810	""	""	
283	18002	1	1	1724	""	""	
283	18003	1	1	1724	""	""	
283	18004	1	1	1077	""	""	
