shop_id	lv	shop_type	item_id	item_num	money_type	price	limit_num	
商品ID	主城等级	商店分类	道具ID	数量	货币类型	商品售价	单次限购次数	
integer	integer	integer	integer	integer	integer	integer	integer	
key	""	""	""	""	""	""	""	
5001	1	1	15001	1	11005	31	5	
5002	1	1	15002	1	11005	56	4	
5003	1	1	15001	1	11004	46	5	
5004	1	1	15002	1	11004	85	4	
5005	1	2	12001	1	11005	34	5	
5006	1	2	12002	1	11005	63	4	
5007	1	2	12001	1	11004	49	5	
5008	1	2	12002	1	11004	88	4	
5009	1	3	14001	1	11005	31	5	
5010	1	3	14002	1	11005	56	4	
5011	1	3	14001	1	11004	46	5	
5012	1	3	14002	1	11004	85	4	
5013	1	4	13001	1	11005	32	5	
5014	1	4	13002	1	11005	57	4	
5015	1	4	13001	1	11004	46	5	
5016	1	4	13002	1	11004	85	4	
5017	1	101	30001	1	0	0	1	
5018	1	101	18001	1	0	0	1	
5019	1	101	18002	1	0	0	1	
5020	1	101	18003	1	0	0	1	
5021	1	151	30001	1	11002	115	5	
5022	1	151	30001	1	11002	120	5	
5023	1	151	30001	1	11002	110	5	
5024	1	151	30001	1	11002	120	5	
5025	1	152	18001	1	11002	80	5	
5026	1	152	18001	1	11002	85	6	
5027	1	152	18002	1	11002	85	5	
5028	1	152	18002	1	11002	85	6	
5029	1	153	18003	1	11002	90	5	
5030	1	153	18003	1	11002	95	6	
5031	1	153	36001	1	11003	30	1	
5032	1	153	36001	1	11003	30	1	
5033	1	200	11003	50	1	1	35	
5034	1	201	11002	300	1	1	35	
5035	1	202	11004	108	1	1	15	
5036	1	203	11005	78	1	1	15	
5037	1	300	18001	1	11003	10	5	
5038	1	300	18002	1	11003	11	5	
5039	1	300	18003	1	11003	12	5	
5040	1	300	18004	1	11003	13	3	
5041	1	300	18005	1	11003	14	3	
5042	1	301	31003	1	11003	20	3	
5043	1	301	32003	1	11003	21	3	
5044	1	301	33003	1	11003	22	3	
5045	1	301	34003	1	11003	25	3	
5046	1	302	35002	1	11003	25	3	
5047	1	302	37002	1	11003	26	3	
5048	1	302	38002	1	11003	26	3	
5049	1	302	39002	1	11003	23	3	
5050	1	302	40002	1	11003	23	3	
5051	1	303	36001	1	11003	25	2	
5052	1	303	36002	1	11003	26	2	
5053	1	303	36003	1	11003	27	2	
5054	1	303	36004	1	11003	27	2	
5055	1	303	36005	1	11003	27	2	
5056	2	1	15001	1	11005	31	5	
