day	reward_array	reward_id	reward_num	reward_id	reward_num	video_times	other_reward_array	reward_id	reward_num	money	reward_id	reward_num	money	reward_id	reward_num	money	
天数	奖励数组	奖励	数量	奖励	数量	视频倍数	明日登录福利数组 货币是钻石	奖励	数量	购买需要的货币数量，根据情况约定	奖励	数量	购买需要的货币数量，根据情况约定	奖励	数量	购买需要的货币数量，根据情况约定	
integer	array	integer	integer	integer	integer	integer	array	integer	integer	integer	integer	integer	integer	integer	integer	integer	
key	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
1	2|2|2	11006	15	11003	2	3	3|3|3	33001	1	0	34001	1	11	35001	1	12	
2	2|2|2	11006	20	11003	3	3	3|3|3	34001	1	0	35001	1	12	37001	1	13	
3	2|2|2	11006	20	11003	3	3	3|3|3	33003	1	0	37001	1	13	38001	1	15	
4	2|2|2	11006	20	11003	3	3	3|3|3	37001	1	0	41001	1	14	42001	1	15	
5	2|2|2	11006	20	11003	3	3	3|3|3	38001	1	0	42001	1	15	43001	1	16	
6	2|2|2	11006	20	11003	3	3	3|3|3	41001	1	0	43001	1	16	45001	1	17	
7	2|2|2	11006	20	11003	3	3	3|3|3	42001	1	0	45001	1	17	46001	1	18	
8	2|2|2	11006	20	11003	3	3	3|3|3	43001	1	0	46001	1	18	44001	1	16	
9	2|2|2	11006	20	11003	3	3	3|3|3	45001	1	0	44001	1	16	46001	1	18	
10	2|2|2	11006	20	11003	3	3	3|3|3	46001	1	0	44001	1	16	45001	1	17	
11	2|2|2	11006	20	11003	3	3	3|3|3	44001	1	0	45001	1	19	46001	1	18	
12	2|2|2	11006	20	11003	3	3	3|3|3	34002	1	0	35002	1	14	37002	1	15	
13	2|2|2	11006	20	11003	3	3	3|3|3	33003	1	0	37002	1	15	38002	1	15	
14	2|2|2	11006	20	11003	3	3	3|3|3	37002	1	0	41002	1	16	42002	1	17	
15	2|2|2	11006	20	11003	3	3	3|3|3	38002	1	0	42002	1	17	43002	1	18	
16	2|2|2	11006	20	11003	3	3	3|3|3	41002	1	0	43002	1	18	45002	1	19	
17	2|2|2	11006	20	11003	3	3	3|3|3	42002	1	0	45002	1	19	46002	1	20	
18	2|2|2	11006	20	11003	3	3	3|3|3	43002	1	0	46002	1	20	44002	1	18	
19	2|2|2	11006	20	11003	3	3	3|3|3	45002	1	0	44002	1	18	46002	1	20	
20	2|2|2	11006	20	11003	3	3	3|3|3	46002	1	0	44002	1	18	45002	1	19	
21	2|2|2	11006	20	11003	3	3	3|3|3	44002	1	0	45002	1	19	46002	1	20	
22	2|2|2	11006	20	11003	3	3	3|3|3	34003	1	0	35003	1	16	37003	1	17	
23	2|2|2	11006	20	11003	3	3	3|3|3	33003	1	0	37003	1	17	38003	1	18	
24	2|2|2	11006	20	11003	3	3	3|3|3	37003	1	0	41003	1	18	42003	1	19	
25	2|2|2	11006	20	11003	3	3	3|3|3	38003	1	0	42003	1	19	43003	1	20	
26	2|2|2	11006	20	11003	3	3	3|3|3	41003	1	0	43003	1	20	45003	1	21	
27	2|2|2	11006	20	11003	3	3	3|3|3	42003	1	0	45003	1	21	46003	1	22	
28	2|2|2	11006	20	11003	3	3	3|3|3	43003	1	0	46003	1	22	44003	1	19	
29	2|2|2	11006	20	11003	3	3	3|3|3	45003	1	0	44003	1	20	46003	1	22	
30	2|2|2	11006	20	11003	3	3	3|3|3	46003	1	0	44003	1	20	45003	1	21	
