arms	star	name	nextNeedItem	nextNeedNum	defense	attack	hp	speed	
种类	星级	名称	升星所需道具	升星所需道具数量	防御	攻击	血值	移速	
integer	integer	string	integer	integer	integer	float	float	integer	
key	key	""	""	""	""	""	""	""	
1	0	"Ngư Xoa Binh 0 sao"	31003	2	0	0	0	0	
1	1	"Ngư Xoa Binh 1 sao"	31003	4	1	1500	1500	0	
1	2	"Ngư Xoa Binh 2 sao"	31003	6	2	2500	2500	0	
1	3	"Ngư Xoa Binh 3 sao"	31003	8	3	3500	3500	0	
1	4	"Ngư Xoa Binh 4 sao"	31003	10	4	4500	4500	0	
1	5	"Ngư Xoa Binh 5 sao"	31003	12	5	5500	5500	0	
1	6	"Ngư Xoa Binh 6 sao"	31003	14	6	6000	6000	0	
1	7	"Ngư Xoa Binh 7 sao"	31003	16	7	6500	6500	0	
1	8	"Ngư Xoa Binh 8 sao"	31003	18	8	7000	7000	0	
1	9	"Ngư Xoa Binh 9 sao"	31003	20	9	7500	7500	0	
1	10	"Ngư Xoa Binh 10 sao"	0	0	10	8000	8000	0	
2	0	"Lính Bắn Đá 0 sao"	32003	2	0	0	0	0	
2	1	"Lính Bắn Đá 1 sao"	32003	4	1	1500	1500	0	
2	2	"Lính Bắn Đá 2 sao"	32003	6	2	2500	2500	0	
2	3	"Lính Bắn Đá 3 sao"	32003	8	3	3500	3500	0	
2	4	"Lính Bắn Đá 4 sao"	32003	10	4	4500	4500	0	
2	5	"Lính Bắn Đá 5 sao"	32003	12	5	5500	5500	0	
2	6	"Lính Bắn Đá 6 sao"	32003	14	6	6000	6000	0	
2	7	"Lính Bắn Đá 7 sao"	32003	16	7	6500	6500	0	
2	8	"Lính Bắn Đá 8 sao"	32003	18	8	7000	7000	0	
2	9	"Lính Bắn Đá 9 sao"	32003	20	9	7500	7500	0	
2	10	"Lính Bắn Đá 10 sao"	0	0	10	8000	8000	0	
3	0	护盾兵0星	33003	2	0	0	0	0	
3	1	护盾兵1星	33003	4	2	1500	1500	0	
3	2	护盾兵2星	33003	6	4	2500	2500	0	
3	3	护盾兵3星	33003	8	6	3500	3500	0	
3	4	护盾兵4星	33003	10	8	4500	4500	0	
3	5	护盾兵5星	33003	12	10	5500	5500	0	
3	6	护盾兵6星	33003	14	12	6000	6000	0	
3	7	护盾兵7星	33003	16	14	6500	6500	0	
3	8	护盾兵8星	33003	18	16	7000	7000	0	
3	9	护盾兵9星	33003	20	18	7500	7500	0	
3	10	护盾兵10星	0	0	20	8000	8000	0	
4	0	弓箭手0星	34003	2	0	0	0	0	
4	1	弓箭手1星	34003	4	1	1500	1500	0	
4	2	弓箭手2星	34003	6	1	2500	2500	0	
4	3	弓箭手3星	34003	8	2	3500	3500	0	
4	4	弓箭手4星	34003	10	2	4500	4500	0	
4	5	弓箭手5星	34003	12	3	5500	5500	0	
4	6	弓箭手6星	34003	14	3	6000	6000	0	
4	7	弓箭手7星	34003	16	4	6500	6500	0	
4	8	弓箭手8星	34003	18	4	7000	7000	0	
