type	lv	task_id	next_id	icon_id	name	content	condition_type	condition_value	timeout	times	reward_array	reward_id	reward_num	reward_id	reward_num	""	""	""	""	""	
任务类型	主城等级,大于0只有符合当前主城等级才出现	任务id	下一级任务id,大于0才有效	任务头像id	任务名称	任务描述	条件类型	条件数值	任务有效期	奖励倍数	奖励数组	奖励id	奖励数量	奖励id	奖励数量	""	""	""	""	""	
integer	integer	integer	integer	integer	string	string	integer	integer	integer	integer	array	integer	integer	integer	integer	""	""	""	""	""	
key	key	key	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
1	1	10001	0	11002	"Lời cầu nguyện của cư dân"	"Tôi thích âm thanh của việc hợp nhất. Hãy hợp nhất 50 lần để tôi nghe thử!"	13	50	3600	1	2|2|2	30001	1	11002	10	""	""	""	""	""	
1	1	10002	0	11002	"Yêu cầu của người thợ rèn"	"Tôi thích âm thanh của việc đập vỡ thùng gỗ. Hãy đập vỡ 35 cái thùng gỗ để tôi nghe thử!"	1	35	3600	1	2|2|2	30001	1	11002	11	""	""	""	""	""	
1	1	10003	0	11002	"Sự kích động của quân đội"	"Quân đội trên đảo quá yếu, xin yêu cầu tuyển mộ thêm 5 lính!"	2	5	3600	1	2|2|2	30001	1	11002	11	""	""	""	""	""	
1	1	10004	0	30001	"Yêu cầu tấn công"	"Tinh thần của mọi người rất cao, xin yêu cầu tấn công xâm lược đảo 3 lần!"	11	3	3600	1	2|2|2	30001	1	11002	12	""	""	""	""	""	
1	1	10005	0	30001	"Người chinh phục đại dương"	"Vị Vua Biển, chúng ta sinh ra để chiến tranh, hủy diệt 15 công trình của kẻ thù!"	12	15	3600	1	2|2|2	30001	1	11002	12	""	""	""	""	""	
1	1	10006	0	30001	"Khoảnh khắc vinh quang"	"Vị Vua Biển! Hãy cho phép tôi truyền danh tiếng của bạn khắp hòn đảo! Tấn công kẻ thù và giành 35 ngôi sao."	17	35	3600	1	2|2|2	30001	1	11002	13	""	""	""	""	""	
1	2	10007	0	30001	"Lời cầu nguyện của cư dân"	"Tôi thích âm thanh của việc hợp nhất. Hãy hợp nhất 50 lần để tôi nghe thử!"	13	50	3600	1	1|2|2	30001	1	11002	10	""	""	""	""	""	
1	2	10008	0	11002	"Yêu cầu của người thợ rèn"	"Tôi thích âm thanh của việc đập vỡ thùng gỗ. Hãy đập vỡ 35 cái thùng gỗ để tôi nghe thử!"	1	35	3600	1	1|2|2	30001	1	11002	11	""	""	""	""	""	
1	2	10009	0	30001	"Sự kích động của quân đội"	"Quân đội trên đảo quá yếu, xin yêu cầu tuyển mộ thêm 7 lính!"	2	7	3600	1	1|2|2	30001	1	11002	11	""	""	""	""	""	
1	2	10010	0	11002	"Yêu cầu tấn công"	"Tinh thần của mọi người rất cao, xin yêu cầu tấn công xâm lược đảo 3 lần!"	11	3	3600	1	2|2|2	30001	1	11002	12	""	""	""	""	""	
1	2	10011	0	30001	"Người chinh phục đại dương"	"Vị Vua Biển, chúng ta sinh ra để chiến tranh, hủy diệt 15 công trình của kẻ thù!"	12	15	3600	1	2|2|2	30001	1	11002	12	""	""	""	""	""	
1	2	10012	0	11002	"Khoảnh khắc vinh quang"	"Vị Vua Biển! Hãy cho phép tôi truyền danh tiếng của bạn khắp hòn đảo! Tấn công kẻ thù và giành 35 ngôi sao."	17	35	3600	1	2|2|2	30001	1	11002	13	""	""	""	""	""	
1	3	10013	0	30001	"Lời cầu nguyện của cư dân"	"Tôi thích âm thanh của việc hợp nhất. Hãy hợp nhất 50 lần để tôi nghe thử!"	13	50	3600	1	1|2|2	30001	1	11002	10	""	""	""	""	""	
1	3	10014	0	11002	"Yêu cầu của người thợ rèn"	"Tôi thích âm thanh của việc đập vỡ thùng gỗ. Hãy đập vỡ 35 cái thùng gỗ để tôi nghe thử!"	1	35	3600	1	1|2|2	30001	1	11002	11	""	""	""	""	""	
1	3	10015	0	30001	"Sự kích động của quân đội"	"Quân đội trên đảo quá yếu, xin yêu cầu tuyển mộ thêm 7 lính!"	2	7	3600	1	1|2|2	30001	1	11002	11	""	""	""	""	""	
1	3	10016	0	11002	"Yêu cầu tấn công"	"Tinh thần của mọi người rất cao, xin yêu cầu tấn công xâm lược đảo 3 lần!"	11	3	3600	1	2|2|2	30001	1	11002	12	""	""	""	""	""	
1	3	10017	0	30001	"Người chinh phục đại dương"	"Vị Vua Biển, chúng ta sinh ra để chiến tranh, hủy diệt 20 công trình của kẻ thù!"	12	20	3600	1	2|2|2	30001	1	11002	12	""	""	""	""	""	
1	3	10018	0	11002	"Khoảnh khắc vinh quang"	"Vị Vua Biển! Hãy cho phép tôi truyền danh tiếng của bạn khắp hòn đảo! Tấn công kẻ thù và giành 35 ngôi sao."	17	35	3600	1	2|2|2	30001	1	11002	13	""	""	""	""	""	
1	4	10019	0	30001	"Lời cầu nguyện của cư dân"	"Tôi thích âm thanh của việc hợp nhất. Hãy hợp nhất 50 lần để tôi nghe thử!"	13	50	3600	1	1|2|2	30001	1	11002	10	""	""	""	""	""	
1	4	10020	0	11002	"Yêu cầu của người thợ rèn"	"Tôi thích âm thanh của việc đập vỡ thùng gỗ. Hãy đập vỡ 35 cái thùng gỗ để tôi nghe thử!"	1	35	3600	1	1|2|2	30001	1	11002	11	""	""	""	""	""	
